Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2011-01-01,21.451612903225808,24.870967741935484,4.67741935483871,3.6774193548387095
2011-02-01,24.11111111111111,29.22222222222222,2.740740740740741,3.4074074074074074
2011-03-01,25.483870967741936,35.61290322580645,0.8387096774193549,3.064516129032258
2011-04-01,17.1,38.4,0.43333333333333335,2.6666666666666665
2011-05-01,12.454545454545455,35.77272727272727,1.0454545454545454,2.3181818181818183
2011-06-01,10.571428571428571,39.07142857142857,1.6785714285714286,2.4642857142857144
2011-07-01,13.03448275862069,39.13793103448276,2.4827586206896552,2.4482758620689653
2011-08-01,16.137931034482758,31.20689655172414,2.0344827586206895,2.7241379310344827
2011-09-01,15.766666666666667,27.533333333333335,1.7,2.6666666666666665
2011-10-01,23.263157894736842,30.157894736842106,3.0,4.947368421052632
2011-11-01,22.714285714285715,22.857142857142858,3.2857142857142856,6.928571428571429
2011-12-01,,,,
2012-01-01,,,,
2012-02-01,,,,
2012-03-01,16.5,29.916666666666668,0.25,2.75
2012-04-01,16.136363636363637,37.18181818181818,0.5454545454545454,2.3636363636363638
2012-05-01,11.0,46.0,1.0,2.0
2012-06-01,17.59090909090909,51.59090909090909,1.0909090909090908,2.090909090909091
2012-07-01,15.555555555555555,51.111111111111114,0.5555555555555556,1.7777777777777777
2012-08-01,,,,
2012-09-01,,,,
2012-10-01,,,,
2012-11-01,,,,
2012-12-01,,,,
2013-01-01,,,,
2013-02-01,,,,
2013-03-01,,,,
2013-04-01,,,,
2013-05-01,,,,
2013-06-01,,,,
2013-07-01,,,,
2013-08-01,,,,
2013-09-01,,,,
2013-10-01,,,,
2013-11-01,,,,
2013-12-01,,,,
2014-01-01,,,,
2014-02-01,,,,
2014-03-01,,,,
2014-04-01,,,,
2014-05-01,12.933333333333334,47.166666666666664,0.4,2.9
2014-06-01,11.566666666666666,44.2,0.2,2.433333333333333
2014-07-01,11.67741935483871,34.61290322580645,0.3225806451612903,2.870967741935484
2014-08-01,9.64516129032258,34.483870967741936,0.16129032258064516,3.2580645161290325
2014-09-01,14.8,27.6,0.4,2.6
2014-10-01,18.615384615384617,27.153846153846153,0.5769230769230769,4.6923076923076925
2014-11-01,18.166666666666668,25.566666666666666,1.9,4.0
2014-12-01,17.11111111111111,19.14814814814815,0.7777777777777778,3.925925925925926
2015-01-01,23.64516129032258,27.129032258064516,1.5161290322580645,4.32258064516129
2015-02-01,17.48,30.36,0.92,4.32
2015-03-01,21.96551724137931,37.0,1.6551724137931034,4.0344827586206895
2015-04-01,16.24,42.72,0.96,3.6
2015-05-01,13.76923076923077,46.80769230769231,0.38461538461538464,3.5384615384615383
2015-06-01,10.620689655172415,43.275862068965516,0.3448275862068966,3.4827586206896552
2015-07-01,11.161290322580646,39.58064516129032,0.16129032258064516,3.806451612903226
2015-08-01,10.96774193548387,33.29032258064516,0.1935483870967742,3.806451612903226
2015-09-01,11.4,33.56666666666667,0.5,3.7
2015-10-01,14.419354838709678,26.225806451612904,0.967741935483871,4.0
2015-11-01,15.333333333333334,23.266666666666666,0.6666666666666666,4.733333333333333
2015-12-01,10.774193548387096,20.06451612903226,0.8387096774193549,3.5161290322580645
