id,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01
13089,,,1.851851851851852,2.6666666666666665,3.0,1.9333333333333331,1.935483870967742,1.7419354838709675,3.2333333333333334,6.684210526315789,,,,0.0,2.548387096774193,1.0769230769230769,1.935483870967742,1.7666666666666666,0.68,1.862068965517241,0.9,3.290322580645161,,,,0.0,0.3870967741935484,1.3,1.5161290322580645,0.6470588235294118,1.6129032258064515,0.4,3.3666666666666667,2.821428571428572,,,,5.0,2.9354838709677415,1.6,1.6451612903225807,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.83870967741935,26.7,27.548387096774192,30.322580645161292,32.892857142857146,28.87096774193548,28.92857142857143,31.903225806451612,30.5,23.838709677419356,31.12903225806452,29.43333333333333,29.741935483870968,25.63333333333333,26.774193548387093,27.258064516129032,26.24137931034483,27.774193548387093,26.392857142857146,26.193548387096772,26.9,22.612903225806452,20.354838709677423,22.33333333333333,24.258064516129032,29.16666666666667,21.354838709677423,23.903225806451612,27.107142857142854,25.258064516129032,24.619047619047624,19.451612903225808,14.766666666666667,12.107142857142858,15.709677419354836,20.566666666666666,20.70967741935484,21.51851851851852,22.67857142857143,29.62068965517241,28.535714285714285,31.35483870967742,26.0,24.064516129032263,17.966666666666665,18.29032258064516,21.096774193548384,13.0,18.387096774193548,24.066666666666666,19.322580645161292,27.73076923076923,27.142857142857146,25.0,21.433333333333334,22.838709677419356,19.84,19.032258064516128,20.384615384615387,16.137931034482758,16.580645161290324,17.033333333333335,18.821428571428573,22.516129032258068,42.0,,,
15003,,5.0,3.290322580645161,5.2,5.4230769230769225,4.1,3.5416666666666665,3.4838709677419355,4.4,7.387096774193548,,,,1.0,4.67741935483871,4.066666666666666,2.290322580645161,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.516129032258064,13.214285714285715,9.8,9.733333333333333,6.9,6.1,5.774193548387097,6.2857142857142865,8.666666666666666,7.6,8.142857142857142,8.714285714285714,10.93548387096774,11.517241379310345,9.208333333333334,7.433333333333334,6.884615384615384,5.366666666666666,5.806451612903227,5.892857142857142,7.533333333333332,9.258064516129034,10.416666666666666,9.096774193548388,11.93548387096774,7.615384615384616,11.346153846153848,8.363636363636363,9.20689655172414,5.7,6.894736842105262,,,,,,,,,5.8,9.821428571428571,5.052631578947368,4.294117647058823,9.454545454545457,6.538461538461537,7.333333333333332,8.366666666666667,11.387096774193546,14.516129032258064,11.892857142857142,9.838709677419354,7.4642857142857135,6.935483870967742,6.466666666666668,6.225806451612903,6.2333333333333325,6.033333333333332,8.161290322580646,7.833333333333332,,,,,,
16001,,,9.363636363636363,10.533333333333333,9.677419354838712,5.533333333333332,1.3448275862068966,4.096774193548387,3.2666666666666666,12.225806451612904,,,,5.0,7.774193548387097,4.966666666666667,3.8,4.352941176470588,6.0,7.458333333333332,6.470588235294117,6.580645161290323,,,,3.0,6.67741935483871,7.6,3.3225806451612905,0.6538461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2857142857142865,5.266666666666667,5.806451612903227,4.67741935483871,4.62962962962963,4.75,,,,,3.0,3.033333333333333,4.096774193548387,3.75,3.5789473684210527,3.0,,,4.083333333333333,7.0,2.769230769230769,3.645161290322581,4.0,3.8333333333333335,4.193548387096774,5.566666666666666,,,,,,
17031,44.96153846153846,1.0,4.290322580645161,2.966666666666667,1.5806451612903225,0.7083333333333334,2.217391304347826,2.548387096774193,2.607142857142857,7.258064516129032,,,,0.0,3.193548387096774,0.9333333333333332,0.6774193548387096,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17163,11.258064516129034,11.862068965517242,13.129032258064516,9.7,8.741935483870968,10.966666666666667,10.225806451612904,7.838709677419355,11.4,14.06451612903226,15.6,14.870967741935484,15.451612903225806,11.481481481481481,13.32258064516129,10.666666666666666,8.172413793103447,11.2,10.387096774193546,10.93548387096774,12.766666666666667,13.709677419354836,17.107142857142858,17.06451612903226,11.774193548387096,9.642857142857142,9.470588235294116,12.5,8.28,9.7,10.870967741935484,8.870967741935484,10.233333333333333,9.483870967741936,13.866666666666667,15.387096774193546,10.178571428571429,8.25,11.258064516129034,10.833333333333336,6.419354838709677,8.0,8.387096774193548,8.931034482758621,9.866666666666667,13.516129032258064,10.166666666666666,13.387096774193546,13.161290322580646,7.724137931034483,9.258064516129034,6.633333333333334,5.612903225806452,8.733333333333333,7.483870967741934,8.387096774193548,9.9,7.67741935483871,7.1,7.433333333333334,3.0,5.178571428571429,7.387096774193548,3.6,5.903225806451613,9.222222222222221,6.193548387096773,6.870967741935483,9.433333333333334,6.774193548387097,8.233333333333333,4.870967741935483,4.032258064516129,4.607142857142857,4.806451612903227,3.966666666666667,5.870967741935483,5.666666666666668,5.633333333333334,5.806451612903227,6.033333333333332,9.451612903225808,10.3,4.806451612903227,2.064516129032258,4.04,7.290322580645161,9.933333333333334,6.366666666666666,5.7666666666666675,5.0,3.68,5.3,7.709677419354839,6.433333333333334,5.806451612903227,4.419354838709677,5.310344827586206,4.129032258064516,4.0,3.0967741935483866,3.2,3.806451612903226,3.9032258064516134,5.3478260869565215,6.8,8.033333333333333,4.32258064516129,4.0,4.071428571428571,3.4838709677419355,2.7666666666666666,2.419354838709677,2.25,2.6451612903225805,2.9032258064516134,2.933333333333333,2.870967741935484,5.866666666666666,3.724137931034482,6.838709677419355,3.592592592592593,4.741935483870968,3.2,3.037037037037037,2.8846153846153846,2.548387096774193,2.5161290322580645,3.703703703703704,3.612903225806452,5.066666666666666,5.548387096774193,3.7,3.8571428571428568,3.2258064516129035,2.966666666666667,2.4516129032258065,2.7333333333333334,2.466666666666667,2.4516129032258065,3.466666666666667,5.193548387096773,3.466666666666667,4.483870967741935,4.580645161290323,2.7586206896551726,3.548387096774193,2.6333333333333333,2.7096774193548385,2.333333333333333,2.4516129032258065,2.9285714285714284,3.6,3.689655172413793,3.375,5.612903225806452,3.7741935483870965,3.7142857142857135,2.967741935483871,2.933333333333333,2.4838709677419355,2.36,2.064516129032258,2.161290322580645,2.933333333333333,3.0645161290322585,3.966666666666667,3.806451612903226,4.8965517241379315,4.142857142857143,3.071428571428572,2.466666666666667,2.4516129032258065,1.9,2.3870967741935485,2.833333333333333,4.730769230769232,5.645161290322582,7.066666666666666,4.548387096774194,4.161290322580645,3.321428571428572,3.129032258064516,2.566666666666667,2.4516129032258065,2.533333333333333,1.9677419354838708,2.5517241379310347,4.133333333333334,3.838709677419355,4.233333333333333,4.032258064516129,3.2258064516129035,4.68,2.6451612903225805,,
18097,,,48.0,39.96666666666667,30.516129032258068,30.9,32.67741935483871,29.625,24.785714285714285,,,,,,34.0,29.7,31.322580645161292,32.06896551724138,29.580645161290327,33.111111111111114,29.37931034482759,,,,,,,30.344827586206893,33.12903225806452,30.38888888888889,38.53333333333333,33.45,,,,,,,40.0,30.66666666666667,29.5,35.766666666666666,31.064516129032263,28.741935483870968,29.43333333333333,,,,,,23.0,26.466666666666665,20.764705882352946,27.566666666666666,26.0,25.407407407407412,37.266666666666666,,,,,,42.0,29.6,30.032258064516128,27.0,28.0,30.161290322580644,8.470588235294116,10.193548387096774,10.4,8.96774193548387,,,17.0,26.27586206896552,23.392857142857146,27.96,25.838709677419356,22.86666666666667,20.3,,,,,,18.0,22.20689655172414,23.0,24.5,21.483870967741932,23.64516129032258,25.0,,,,,,10.0,20.666666666666668,20.096774193548384,15.9,19.516129032258068,20.032258064516128,28.33333333333333,,,,,,13.0,21.5,20.83333333333333,22.53333333333333,19.161290322580644,18.161290322580644,18.733333333333334,,,,,,25.0,21.7,16.967741935483872,16.433333333333334,23.92857142857143,23.285714285714285,23.592592592592588,,,,,,49.0,20.466666666666665,16.64516129032258,19.066666666666666,24.096774193548388,22.677419354838708,19.0,,,,,,,21.346153846153847,21.387096774193548,19.48,22.615384615384613,28.464285714285715,20.866666666666667,,,,19.0,20.80769230769231,23.774193548387093,26.7,19.93548387096774,19.27586206896552,18.70967741935484,21.548387096774192,19.3,20.483870967741932,20.55172413793104,26.277777777777782,25.038461538461537,27.92857142857143,24.714285714285715,24.53333333333333,20.571428571428573,15.461538461538463,18.322580645161292,18.93548387096774,25.73333333333333,20.392857142857142,22.0,20.761904761904766,28.92857142857143,30.5,28.612903225806452,23.95833333333333,24.387096774193548,22.0,20.291666666666668,20.032258064516128,22.6,19.93548387096774,24.86666666666667,19.354838709677423,23.107142857142854,24.15,22.23333333333333,,
19153,,,24.0,9.482758620689657,4.806451612903227,4.566666666666666,6.387096774193548,8.071428571428571,7.1,,,,,,9.0,6.4,7.419354838709677,9.633333333333333,6.741935483870968,7.421052631578947,9.533333333333333,,,,,,20.0,5.7333333333333325,6.903225806451613,7.551724137931035,7.0,8.0,8.0,,,,,,5.0,7.033333333333332,7.137931034482759,9.1,9.225806451612904,8.3125,8.291666666666666,,,,,,3.0,7.1,6.580645161290323,7.3,7.290322580645161,9.129032258064516,9.4,,,,,,5.0,5.133333333333334,6.12,6.7727272727272725,6.193548387096773,7.03225806451613,7.566666666666666,,,,,,8.0,4.633333333333334,5.354838709677419,5.333333333333333,5.419354838709676,5.161290322580644,,,,,,,,21.17241379310345,16.161290322580644,11.933333333333335,14.838709677419354,15.769230769230768,16.142857142857142,17.285714285714285,,,,,,16.42105263157895,20.0,16.633333333333333,15.870967741935484,18.258064516129032,16.0,18.61290322580645,,,,,6.0,19.766666666666666,22.322580645161292,15.666666666666664,16.032258064516128,16.64516129032258,23.444444444444446,15.419354838709678,,,,,49.0,19.866666666666667,21.41935483870968,16.533333333333335,15.866666666666667,14.06896551724138,15.266666666666667,21.266666666666666,,,,,42.0,15.333333333333336,14.548387096774194,13.79310344827586,12.548387096774194,15.387096774193546,16.125,21.956521739130434,,,,,21.0,15.620689655172415,11.833333333333336,14.72,12.774193548387096,20.870967741935484,21.33333333333333,16.0,,,,,,10.0,14.0,13.8,12.161290322580646,14.580645161290322,14.166666666666664,14.333333333333336,,,,,9.0,15.366666666666667,13.838709677419354,10.266666666666667,11.483870967741936,13.741935483870966,14.241379310344827,15.032258064516132,,,,,39.0,16.8,11.161290322580648,10.5,10.419354838709678,11.419354838709678,13.833333333333336,15.296296296296294,,,,,,11.4,
20107,10.387096774193546,6.689655172413793,7.548387096774193,6.6,4.833333333333333,3.28,4.548387096774194,4.956521739130435,5.851851851851853,6.709677419354839,11.9,10.967741935483868,10.35483870967742,10.535714285714286,9.96774193548387,5.0,5.24,5.333333333333333,4.655172413793104,6.258064516129032,5.9,6.064516129032258,7.2666666666666675,7.903225806451613,8.774193548387098,6.178571428571429,3.0,5.7,5.419354838709676,6.033333333333332,5.482758620689656,6.387096774193548,8.4,,,,,,3.0,6.2,5.838709677419355,6.466666666666668,6.774193548387097,6.516129032258066,6.066666666666666,,,,,,5.0,4.9,4.258064516129032,4.4,4.62962962962963,5.357142857142857,7.407407407407407,,,,,,3.0,5.266666666666667,5.290322580645161,5.222222222222221,4.774193548387096,5.4,5.625,,,,,,5.0,5.066666666666666,4.967741935483871,5.7,6.193548387096773,5.193548387096773,5.633333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191,,,16.0,10.666666666666666,10.451612903225808,8.566666666666666,9.64516129032258,9.483870967741936,9.766666666666667,15.32258064516129,,,,,22.0,8.0,6.774193548387097,6.466666666666668,6.935483870967742,7.225806451612903,8.866666666666667,9.35483870967742,,,,,9.0,7.821428571428571,8.903225806451612,8.733333333333333,8.935483870967742,10.0,10.566666666666666,9.064516129032258,,,,,10.0,8.8,8.612903225806452,10.2,8.612903225806452,10.161290322580646,9.433333333333334,10.709677419354838,,,,,7.0,9.5,7.193548387096773,6.533333333333332,9.387096774193546,8.129032258064516,11.233333333333333,9.225806451612904,,,,,8.0,6.2,4.741935483870968,6.2666666666666675,6.838709677419355,8.516129032258064,10.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20209,26.580645161290327,33.89655172413793,43.0,13.6,6.193548387096773,10.6,9.387096774193546,11.161290322580648,10.266666666666667,17.548387096774196,19.666666666666668,,,,14.0,7.033333333333332,7.32258064516129,8.033333333333333,6.129032258064517,7.290322580645161,12.8,11.433333333333335,32.166666666666664,,,,8.0,5.566666666666666,8.774193548387098,7.7,8.709677419354838,7.0344827586206895,12.966666666666667,13.838709677419354,,,,,,7.933333333333334,8.064516129032258,7.666666666666668,7.290322580645161,7.258064516129032,9.866666666666667,14.580645161290322,,,,,3.0,6.933333333333334,5.419354838709676,5.666666666666668,7.516129032258066,9.161290322580646,12.766666666666667,9.322580645161288,,,,,2.0,5.233333333333333,5.354838709677419,4.866666666666666,5.258064516129032,7.0,10.103448275862071,10.387096774193546,,,,,5.0,6.633333333333334,6.193548387096773,5.566666666666666,7.0344827586206895,5.935483870967742,6.7333333333333325,9.387096774193546,,,,,7.0,7.2,5.518518518518518,7.466666666666668,5.258064516129032,6.258064516129032,8.466666666666667,7.516129032258066,,,,,5.0,5.533333333333332,5.096774193548387,4.166666666666667,4.419354838709677,5.870967741935483,8.7,9.806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.193548387096774,3.838709677419355,3.9,3.6538461538461537,4.666666666666667,3.875,3.533333333333333,3.875,4.290322580645161,2.966666666666667,3.161290322580645,2.833333333333333,2.9032258064516134,3.7096774193548394,4.9,4.866666666666666,4.033333333333333,3.870967741935484,4.67741935483871,3.6071428571428568,5.032258064516129,3.9,3.6,3.3,3.842105263157895,,3.761904761904762,3.9655172413793114,5.384615384615384,3.967741935483871,4.166666666666667,,,,
