id,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01
6095,29.193548387096772,28.103448275862068,25.806451612903228,20.633333333333333,17.70967741935484,13.633333333333333,12.93548387096774,15.93548387096774,25.066666666666666,23.935483870967737,30.2,29.517241379310345,33.75862068965517,30.17857142857143,22.483870967741932,19.066666666666666,19.29032258064516,17.357142857142858,11.06451612903226,12.827586206896553,18.6,27.580645161290327,29.16666666666667,24.29032258064516,28.677419354838708,30.0,25.483870967741932,16.1,15.133333333333333,15.166666666666664,12.225806451612904,16.225806451612904,19.9,26.258064516129032,30.53333333333333,28.70967741935484,24.64516129032258,29.214285714285715,21.580645161290327,19.3,17.645161290322577,15.3,13.93548387096774,11.774193548387096,18.666666666666668,27.67857142857143,28.86666666666667,25.29032258064516,24.935483870967737,27.48275862068965,26.806451612903228,19.83333333333333,12.193548387096774,11.433333333333335,9.870967741935484,10.806451612903226,22.53333333333333,24.70967741935484,28.13333333333333,27.612903225806452,23.35483870967742,25.642857142857146,23.12903225806452,18.33333333333333,11.64516129032258,33.0,36.586206896551715,26.41935483870968,22.73333333333333,15.0,14.791666666666664,12.766666666666667,17.96153846153846,17.785714285714285,22.53333333333333,30.809523809523807,33.0,39.833333333333336,40.83870967741935,34.625,24.52173913043478,14.451612903225806,13.833333333333336,13.225806451612904,12.64,15.592592592592592,24.392857142857146,25.5,31.677419354838708,34.73333333333333,39.70967741935485,33.96774193548387,27.266666666666666,18.93548387096774,14.071428571428573,14.233333333333333,12.777777777777779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.761904761904766,34.38709677419355,40.93333333333333,43.032258064516135,42.46666666666667,52.483870967741936,42.451612903225815,33.17391304347826,19.0,14.571428571428573,17.466666666666665,17.419354838709676,22.642857142857146,27.161290322580644,30.43333333333333,36.153846153846146,41.266666666666666,50.612903225806456,44.967741935483865,34.22222222222222,21.774193548387093,17.777777777777782,18.689655172413797,24.36666666666667,25.107142857142854,32.87096774193548,40.63333333333333,42.645161290322584,45.3,53.58064516129032,50.516129032258064,39.333333333333336,30.806451612903228,25.2,14.258064516129034,23.741935483870968,25.607142857142854,36.354838709677416,42.43333333333333,39.70967741935485,61.63333333333333,52.516129032258064,61.064516129032256,46.63333333333333,29.64516129032258,26.53333333333333,22.677419354838708,24.87096774193548,34.3448275862069,13.096774193548386,,
6111,28.064516129032263,23.37037037037037,23.83333333333333,21.63333333333333,19.580645161290324,17.2,14.93548387096774,20.0,21.83333333333333,24.322580645161292,34.8,34.29032258064516,30.217391304347824,22.45,19.387096774193548,19.53333333333333,21.416666666666668,17.166666666666668,16.387096774193548,17.322580645161292,19.133333333333333,23.161290322580644,27.63333333333333,30.838709677419356,26.516129032258068,20.928571428571427,18.130434782608692,16.433333333333334,15.903225806451614,13.566666666666665,13.157894736842106,17.806451612903224,19.166666666666668,20.354838709677423,25.43333333333333,22.285714285714285,25.689655172413797,22.392857142857146,19.677419354838708,15.75,13.5,19.0,17.322580645161292,19.967741935483872,17.166666666666668,25.35483870967742,25.566666666666666,28.903225806451612,27.91666666666667,21.931034482758623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72222222222222,33.80645161290323,33.0,37.192307692307686,39.2258064516129,41.0,46.54545454545455,42.96666666666667,46.193548387096776,44.74193548387096,39.13333333333333,34.793103448275865,32.4,33.0,37.645161290322584,39.5,42.451612903225815,46.4,48.230769230769226,47.16666666666666,,,,,,,,,,,,,,,,,,,,,,,
8001,16.161290322580644,18.392857142857142,22.35483870967742,24.6,42.83870967741935,51.56666666666667,41.41935483870968,38.096774193548384,30.896551724137932,22.032258064516128,15.7,10.93548387096774,11.258064516129034,16.571428571428573,22.03333333333333,31.3,38.064516129032256,66.56666666666666,47.48275862068966,57.48275862068966,33.266666666666666,28.35483870967742,19.166666666666668,12.35,14.419354838709678,21.678571428571423,26.516129032258068,32.93333333333333,40.16129032258065,70.33333333333333,73.54838709677419,75.48387096774194,38.4,20.096774193548384,17.633333333333333,15.741935483870966,15.35483870967742,14.785714285714285,20.967741935483872,29.8,23.857142857142854,50.23333333333333,48.903225806451616,49.87096774193547,30.0,22.70967741935484,17.1,16.483870967741936,18.83870967741936,20.758620689655174,24.548387096774192,31.9,38.12903225806452,37.4,46.4,38.61290322580645,28.551724137931036,16.032258064516128,15.866666666666667,15.193548387096774,14.967741935483868,17.678571428571427,26.774193548387093,30.766666666666666,27.935483870967737,41.206896551724135,50.48275862068966,60.58064516129032,48.93333333333333,21.935483870967737,24.66666666666667,15.64516129032258,20.322580645161292,26.142857142857146,35.74193548387097,39.23333333333333,52.064516129032256,57.66666666666666,62.29032258064516,68.3225806451613,32.36666666666667,26.12903225806452,19.1,16.70967741935484,20.08695652173913,24.72,34.91304347826087,39.51724137931035,54.67741935483871,57.33333333333334,57.67741935483871,65.06451612903226,48.46666666666667,31.9,20.666666666666668,17.193548387096776,20.806451612903224,23.375,34.45161290322581,37.833333333333336,40.5,56.43333333333333,67.41935483870968,46.516129032258064,37.53333333333333,26.29032258064516,20.03333333333333,20.41935483870968,22.12903225806452,29.535714285714285,31.258064516129032,37.16666666666666,31.66666666666667,42.16666666666666,38.74193548387097,39.83870967741935,28.24137931034483,22.516129032258068,19.33333333333333,19.866666666666667,19.322580645161292,26.82142857142857,35.16129032258065,36.96666666666667,37.53333333333333,55.5,66.19354838709678,69.38709677419354,49.53333333333333,28.935483870967737,23.1,21.838709677419356,20.967741935483872,29.035714285714285,33.064516129032256,35.13333333333333,41.935483870967744,56.28571428571429,64.19354838709678,42.61290322580645,29.63333333333333,25.612903225806452,24.466666666666665,17.193548387096776,20.451612903225808,25.37931034482759,33.54838709677419,41.43333333333333,44.612903225806456,59.10344827586207,60.0,56.774193548387096,39.5,27.483870967741932,22.0,18.161290322580644,21.516129032258068,26.285714285714285,36.61290322580645,45.1,43.774193548387096,45.2,45.032258064516135,44.0,42.06666666666667,27.225806451612907,22.53333333333333,18.41935483870968,24.193548387096772,27.4,32.774193548387096,39.86666666666667,46.0,50.23333333333333,49.096774193548384,46.60714285714285,35.266666666666666,28.032258064516128,23.88888888888889,17.161290322580644,21.29032258064516,26.740740740740737,32.16129032258065,40.3,45.838709677419345,44.55172413793103,47.0,51.387096774193544,51.51724137931034,28.032258064516128,23.6,15.333333333333336,,,34.82142857142857,,
8031,27.064516129032263,38.307692307692314,42.483870967741936,56.85185185185186,49.74193548387096,36.53333333333333,51.444444444444436,43.29032258064516,28.7,43.645161290322584,30.8,24.774193548387093,27.064516129032263,29.464285714285715,38.967741935483865,43.56666666666667,59.48,33.44827586206897,31.612903225806452,39.80645161290322,31.83333333333333,31.69230769230769,33.9,23.387096774193548,22.677419354838708,28.142857142857146,35.80645161290323,45.43333333333333,47.451612903225815,34.833333333333336,41.16666666666666,30.838709677419356,26.27586206896552,34.354838709677416,32.53333333333333,25.838709677419356,28.5,28.285714285714285,36.032258064516135,50.2,53.064516129032256,30.466666666666665,32.0,25.387096774193548,31.23333333333333,35.70967741935485,27.5,25.612903225806452,28.838709677419356,29.37931034482759,44.612903225806456,52.26666666666666,48.87096774193547,35.266666666666666,45.774193548387096,34.27586206896552,23.884615384615387,32.74193548387097,32.13333333333333,25.259259259259263,30.161290322580644,34.785714285714285,37.903225806451616,53.0,52.516129032258064,26.86666666666667,36.74193548387097,40.87096774193548,41.96551724137932,29.096774193548388,30.566666666666666,26.79310344827586,28.387096774193548,34.5,49.903225806451616,51.6,60.193548387096776,45.26666666666666,33.935483870967744,35.67741935483871,43.26666666666666,39.12903225806452,32.333333333333336,26.580645161290327,25.548387096774192,34.642857142857146,41.064516129032256,52.7,49.36666666666667,39.36666666666667,37.967741935483865,43.32258064516129,30.266666666666666,29.322580645161292,33.3,27.516129032258068,28.903225806451612,32.55172413793103,41.451612903225815,47.3,43.838709677419345,35.0,34.41935483870968,29.466666666666665,29.13333333333333,33.61290322580645,31.1,28.483870967741932,31.516129032258068,37.714285714285715,41.38709677419355,49.1,40.74193548387097,40.0,33.935483870967744,28.421052631578952,28.740740740740737,32.06896551724138,31.266666666666666,26.096774193548388,32.63333333333333,35.357142857142854,46.838709677419345,50.9,36.774193548387096,31.466666666666665,29.516129032258068,26.516129032258068,30.53333333333333,44.884615384615394,32.46666666666667,29.258064516129032,32.25806451612903,33.32142857142857,42.774193548387096,41.56666666666667,49.354838709677416,39.03333333333333,28.41935483870968,34.90322580645161,36.16666666666666,34.25806451612903,29.9,29.29032258064516,33.064516129032256,33.06896551724138,38.451612903225815,49.43333333333333,40.67741935483871,31.8,29.258064516129032,26.806451612903228,29.36666666666667,29.35483870967742,33.23333333333333,27.516129032258068,31.64516129032258,37.964285714285715,51.10344827586207,41.24137931034483,46.1,28.0,26.16,28.451612903225808,31.066666666666666,34.83870967741935,31.066666666666666,30.161290322580644,30.935483870967737,31.07142857142857,40.516129032258064,42.46666666666667,45.67741935483871,33.96,35.774193548387096,35.451612903225815,27.33333333333333,40.0,32.766666666666666,28.387096774193548,31.032258064516128,36.17857142857143,38.483870967741936,39.92307692307692,34.61904761904762,35.63333333333333,34.90322580645161,33.58064516129032,30.6,35.12903225806452,30.8,29.258064516129032,31.967741935483872,39.89655172413793,,,
8057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.12903225806452,34.714285714285715,45.064516129032256,54.56666666666667,61.67741935483871,42.36666666666667,35.29032258064515,41.483870967741936,32.4,28.903225806451612,35.266666666666666,28.935483870967737,31.387096774193548,33.586206896551715,42.0,47.2,47.0,35.166666666666664,31.451612903225808,25.677419354838708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1111111111111107,2.3870967741935485,2.3793103448275863,1.6923076923076923,1.6451612903225807,1.5333333333333334,2.1818181818181817,1.8333333333333333,3.9354838709677415,2.7419354838709675,2.8,2.3793103448275863,2.433333333333333,2.5454545454545454,2.7419354838709675,2.25,2.3548387096774195,1.2666666666666666,1.5769230769230769,1.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,
9001,7.346153846153847,11.413793103448276,15.258064516129034,20.933333333333334,23.161290322580644,22.16666666666667,22.48,21.032258064516128,14.73684210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,24.73076923076923,31.966666666666665,26.8,26.41666666666667,28.225806451612907,26.607142857142854,,,,,,15.0,30.73333333333333,25.064516129032263,27.2,27.724137931034484,20.483870967741932,20.53846153846154,,,,,,28.0,27.30769230769231,18.72,16.8,19.032258064516128,21.153846153846157,17.4,,,,,,8.0,26.82758620689655,22.29032258064516,22.3,23.96551724137931,20.678571428571427,17.821428571428573,,,,,,28.0,22.766666666666666,20.90322580645161,24.53333333333333,20.318181818181817,20.5,13.733333333333333,,,,,,16.0,22.7,16.161290322580644,16.433333333333334,18.225806451612907,17.580645161290324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9003,,,,,,,,,,,,,12.642857142857142,19.035714285714285,25.225806451612907,37.16666666666666,44.12903225806453,56.4,54.793103448275865,52.806451612903224,40.46666666666667,25.322580645161292,19.066666666666666,13.870967741935484,14.166666666666664,22.5,25.225806451612907,30.63333333333333,34.208333333333336,59.0,80.0,56.87096774193547,54.2,19.161290322580644,14.615384615384615,15.548387096774194,16.8,17.535714285714285,26.935483870967737,33.85185185185185,32.12903225806452,52.86666666666667,51.9,57.838709677419345,32.6,23.87096774193548,18.0,15.0,15.548387096774194,21.206896551724142,27.064516129032263,37.46666666666667,34.2,44.56666666666667,47.096774193548384,38.354838709677416,40.153846153846146,19.90322580645161,14.066666666666665,15.233333333333333,13.32258064516129,18.607142857142858,28.869565217391305,40.5,48.32142857142857,73.8,57.903225806451616,52.25806451612904,48.3,23.225806451612907,21.133333333333333,13.0,16.88888888888889,22.04166666666667,29.0,40.785714285714285,36.774193548387096,59.2,62.875,42.57142857142857,31.28,23.903225806451612,16.566666666666666,15.482758620689655,17.903225806451616,21.88,26.92857142857143,34.96296296296296,39.41935483870968,43.93333333333333,39.12903225806452,50.838709677419345,38.3,25.193548387096772,15.233333333333333,14.35483870967742,17.82608695652174,20.791666666666668,24.161290322580644,30.79166666666667,35.7,37.53333333333333,42.483870967741936,35.645161290322584,31.066666666666666,24.466666666666665,16.73076923076923,15.7,16.870967741935484,22.321428571428577,27.16666666666667,27.83333333333333,29.64516129032258,45.0,38.967741935483865,35.61290322580645,31.5,16.22222222222222,22.8,15.0,14.703703703703706,20.916666666666668,28.41666666666667,36.607142857142854,41.03448275862068,50.111111111111114,48.58064516129032,54.5925925925926,35.93333333333333,34.38709677419355,23.2,18.896551724137925,22.096774193548388,25.964285714285715,31.26086956521739,34.266666666666666,32.225806451612904,44.8,58.67741935483871,45.41935483870968,32.9,32.23809523809524,21.09090909090909,15.814814814814815,17.736842105263158,,34.30769230769231,36.388888888888886,53.41935483870968,61.7037037037037,73.05555555555556,63.06666666666667,29.066666666666666,25.966666666666665,18.64,16.967741935483872,22.580645161290327,28.785714285714285,34.70967741935484,38.86666666666667,37.516129032258064,44.63333333333333,45.76666666666666,50.89285714285714,39.875,28.68,22.217391304347824,19.870967741935484,24.73333333333333,29.642857142857146,33.90322580645161,43.03333333333333,46.096774193548384,41.93333333333333,45.032258064516135,51.096774193548384,45.0952380952381,26.032258064516128,23.7,16.096774193548384,21.322580645161292,28.892857142857146,29.0,39.346153846153854,41.516129032258064,40.0,45.25806451612904,45.74193548387096,44.0,29.225806451612907,24.73333333333333,20.43478260869565,27.157894736842106,29.20689655172414,30.70967741935484,,
9005,,,3.0,35.6,41.61290322580645,52.2,52.774193548387096,42.25,34.892857142857146,,,,,,29.0,40.766666666666666,55.612903225806456,55.03448275862069,58.774193548387096,52.96296296296296,38.862068965517246,,,,,,,37.620689655172406,46.161290322580655,58.38888888888889,79.36666666666666,71.4,,,,,,,37.0,42.555555555555564,37.607142857142854,60.66666666666666,48.67741935483871,43.645161290322584,35.43333333333333,,,,,,14.0,42.0,40.058823529411775,46.2,51.625,39.25925925925926,42.93333333333333,,,,,,8.0,44.96666666666667,46.548387096774185,59.93333333333333,57.838709677419345,46.451612903225815,47.36666666666667,,,,,,19.0,32.10344827586207,28.642857142857146,34.48,49.838709677419345,39.96666666666667,24.766666666666666,,,,,,28.0,33.3448275862069,49.84,50.36666666666667,44.67741935483871,55.193548387096776,48.43333333333333,,,,,,31.0,34.266666666666666,32.19354838709677,39.96666666666667,43.096774193548384,40.0,37.833333333333336,,,,,,19.0,31.4,40.41666666666666,40.43333333333333,30.29032258064516,32.774193548387096,33.166666666666664,,,,,,18.0,36.8,35.967741935483865,38.1,40.142857142857146,48.0,36.25925925925926,,,,,,0.0,36.9,40.67741935483871,51.66666666666666,59.12903225806453,50.74193548387096,36.66666666666666,,,,,,,39.230769230769226,56.774193548387096,65.76,66.0,57.214285714285715,31.23333333333333,,,,19.416666666666668,25.153846153846153,32.80645161290323,40.66666666666666,43.29032258064516,49.96551724137931,40.12903225806452,50.032258064516135,47.1,25.483870967741932,21.551724137931036,20.38888888888889,27.34615384615385,33.785714285714285,37.57142857142857,46.16666666666666,43.66666666666666,49.846153846153854,41.903225806451616,45.225806451612904,40.7,25.42857142857143,24.08333333333333,17.761904761904766,26.5,29.76923076923077,36.38709677419355,45.54166666666666,48.935483870967744,47.23333333333333,41.54166666666666,42.935483870967744,45.96666666666667,30.612903225806452,26.33333333333333,19.774193548387093,25.0,32.4,34.266666666666666,,
9009,24.903225806451612,32.93103448275862,36.61290322580645,48.23333333333333,46.79166666666666,41.16,50.774193548387096,74.04347826086956,62.407407407407405,44.838709677419345,24.8,25.12903225806452,25.580645161290327,29.285714285714285,40.29032258064515,54.35,47.36,52.6,49.72413793103448,53.838709677419345,45.06666666666667,40.83870967741935,34.63333333333333,29.935483870967737,27.580645161290327,34.392857142857146,36.0,35.166666666666664,39.096774193548384,45.26666666666666,42.58064516129032,51.70967741935484,57.46666666666667,23.741935483870968,24.93333333333333,22.35483870967742,23.516129032258068,29.285714285714285,38.653846153846146,50.75,40.61904761904762,49.83333333333334,55.612903225806456,66.35483870967742,38.46666666666667,35.03225806451613,24.73333333333333,26.225806451612907,22.548387096774192,31.23076923076923,29.064516129032263,33.166666666666664,30.580645161290327,37.2962962962963,43.05263157894736,38.117647058823536,,26.48,23.23333333333333,26.29032258064516,18.06451612903226,29.035714285714285,37.064516129032256,47.53333333333333,53.08333333333334,82.5,53.19230769230769,54.230769230769226,35.27272727272727,34.7037037037037,30.896551724137932,23.032258064516128,27.63333333333333,32.785714285714285,39.29032258064515,49.56666666666667,33.4,62.52173913043478,59.42857142857143,30.964285714285715,30.43333333333333,,,,,,29.0,29.8,36.29032258064515,34.3,32.70967741935484,31.64516129032258,28.466666666666665,,,,,,25.0,27.6,34.0,,,,21.210526315789476,29.892857142857146,26.066666666666666,28.774193548387093,36.333333333333336,27.777777777777782,30.903225806451612,29.0,24.322580645161292,20.133333333333333,21.903225806451612,24.8,21.740740740740737,23.903225806451612,23.2,26.64516129032258,28.903225806451612,29.08,31.285714285714285,31.566666666666666,24.967741935483872,23.86666666666667,23.08,22.29032258064516,22.53333333333333,25.516129032258068,28.03333333333333,26.48,38.67741935483871,43.07142857142857,27.516129032258068,28.9,22.967741935483872,25.466666666666665,27.4,23.387096774193548,22.566666666666666,25.4,32.586206896551715,30.677419354838708,26.322580645161292,31.82758620689655,29.225806451612907,29.3,22.967741935483872,19.566666666666666,22.516129032258068,25.967741935483872,21.93333333333333,22.483870967741932,28.83333333333333,26.73333333333333,32.064516129032256,30.57142857142857,25.096774193548388,28.0,27.41935483870968,26.566666666666666,18.483870967741932,23.677419354838708,24.33333333333333,25.161290322580644,30.466666666666665,32.41935483870968,31.225806451612907,38.333333333333336,32.29032258064516,25.923076923076927,24.3,21.81481481481481,22.0,17.29032258064516,21.133333333333333,22.12903225806452,27.2,23.12903225806452,27.483870967741932,35.535714285714285,32.483870967741936,24.9,24.935483870967737,18.4,28.037037037037038,20.322580645161292,24.966666666666665,25.064516129032263,27.53333333333333,,,,,,
10003,,,,,,46.16666666666666,64.19354838709678,22.0,,,,,,,,,,,,,,,31.0,25.0,25.5,31.57142857142857,38.10344827586207,37.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.93103448275862,27.35,21.142857142857142,,16.11764705882353,19.48,16.225806451612904,18.0,15.233333333333333,19.225806451612907,35.125,23.88888888888889,26.16666666666667,31.0,23.176470588235286,23.615384615384613,15.74074074074074,15.666666666666664,15.0,20.821428571428573,34.0,20.892857142857142,31.45454545454545,26.88888888888889,25.8,23.947368421052627,,26.33333333333333,20.52173913043478,17.32,15.636363636363635,21.33333333333333,,,,,31.555555555555557,28.75,,25.285714285714285,17.8,15.692307692307693,13.571428571428573,15.0,13.5,,,,29.444444444444446,34.0,,,18.25,,15.222222222222221,16.193548387096776,18.428571428571427,,,22.72,31.838709677419356,29.615384615384613,18.8,,
