Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2005-06-29,38,33,10.0,8.0
2005-06-30,31,33,6.0,8.0
2005-07-01,29,27,19.0,9.0
2005-07-02,31,40,10.0,6.0
2005-07-03,30,34,6.0,6.0
2005-07-04,25,41,4.0,7.0
2005-07-05,29,26,9.0,11.0
2005-07-06,29,37,29.0,10.0
2005-07-07,41,35,13.0,9.0
2005-07-08,45,41,23.0,11.0
2005-07-09,28,36,9.0,6.0
2005-07-10,21,43,10.0,7.0
2005-07-11,27,28,9.0,9.0
2005-07-12,26,42,7.0,8.0
2005-07-13,25,40,6.0,8.0
2005-07-14,64,36,6.0,9.0
2005-07-15,29,37,0.0,8.0
2005-07-16,35,48,11.0,7.0
2005-07-17,23,35,13.0,7.0
2005-07-18,25,37,3.0,7.0
2005-07-19,47,39,11.0,8.0
2005-07-20,47,38,31.0,10.0
2005-07-21,53,39,11.0,10.0
2005-07-22,57,35,11.0,11.0
2005-07-23,42,46,26.0,8.0
2005-07-24,39,51,9.0,7.0
2005-07-25,46,25,13.0,10.0
2005-07-26,24,15,0.0,8.0
2005-07-29,37,32,4.0,7.0
2005-07-30,31,40,7.0,8.0
2005-07-31,28,38,30.0,7.0
2005-08-01,49,21,41.0,10.0
2005-08-02,40,33,9.0,9.0
2005-08-03,52,25,26.0,9.0
2005-08-04,39,14,3.0,10.0
2005-08-05,43,21,19.0,9.0
2005-08-06,49,39,10.0,8.0
2005-08-07,53,41,11.0,8.0
2005-08-08,60,37,16.0,8.0
2005-08-09,42,33,17.0,13.0
2005-08-10,43,17,14.0,10.0
2005-08-11,40,24,6.0,9.0
2005-08-12,35,31,4.0,9.0
2005-08-13,31,16,1.0,7.0
2005-08-14,25,19,16.0,7.0
2005-08-15,34,27,7.0,11.0
2005-08-16,40,20,11.0,10.0
2005-08-17,44,23,27.0,7.0
2005-08-18,39,24,16.0,6.0
2005-08-19,44,21,30.0,9.0
2005-08-20,46,26,21.0,7.0
2005-08-21,43,33,29.0,6.0
2005-08-22,46,24,27.0,10.0
2005-08-23,47,17,17.0,11.0
2005-08-24,45,28,16.0,9.0
2005-08-25,44,23,9.0,10.0
2005-08-26,40,20,7.0,10.0
2005-08-27,35,29,4.0,7.0
2005-08-28,46,38,4.0,8.0
2005-08-29,46,38,4.0,8.0
2005-08-30,62,32,27.0,9.0
2005-08-31,43,25,4.0,7.0
2005-09-01,65,23,21.0,13.0
2005-09-02,61,27,9.0,13.0
2005-09-03,41,36,19.0,7.0
2005-09-04,42,39,24.0,6.0
2005-09-05,46,39,9.0,6.0
2005-09-06,45,15,20.0,9.0
2005-09-07,54,25,13.0,13.0
2005-09-08,57,20,19.0,15.0
2005-09-09,48,25,10.0,11.0
2005-09-10,42,31,7.0,7.0
2005-09-11,52,30,21.0,8.0
2005-09-12,53,23,9.0,10.0
2005-09-13,40,21,7.0,7.0
2005-09-14,35,24,1.0,8.0
2005-09-15,42,28,20.0,7.0
2005-09-16,54,20,10.0,10.0
2005-09-17,64,32,11.0,10.0
2005-09-18,42,31,6.0,9.0
2005-09-19,60,25,10.0,11.0
2005-09-20,57,25,14.0,13.0
2005-09-21,52,14,19.0,13.0
2005-09-22,46,14,10.0,9.0
2005-09-23,58,14,36.0,15.0
2005-09-24,49,17,17.0,13.0
2005-09-25,54,15,17.0,8.0
2005-09-26,67,19,16.0,9.0
2005-09-27,47,16,26.0,8.0
2005-09-28,37,11,1.0,9.0
2005-09-29,53,7,13.0,20.0
2005-09-30,60,16,19.0,15.0
2005-10-01,49,25,34.0,14.0
2005-10-02,50,29,13.0,10.0
2005-10-03,58,13,19.0,11.0
2005-10-04,50,19,13.0,10.0
2005-10-05,38,16,7.0,7.0
2005-10-06,44,14,21.0,9.0
2005-10-07,57,7,17.0,16.0
2005-10-08,63,28,23.0,15.0
2005-10-09,38,19,6.0,9.0
2005-10-10,38,8,1.0,9.0
2005-10-11,48,7,10.0,11.0
2005-10-12,49,14,11.0,9.0
2005-10-13,52,17,6.0,10.0
2005-10-14,50,16,21.0,10.0
2005-10-15,44,25,6.0,14.0
2005-10-16,51,23,21.0,8.0
2005-10-17,62,18,13.0,16.0
2005-10-18,61,11,7.0,14.0
2005-10-19,38,7,6.0,10.0
2005-10-20,47,12,51.0,10.0
2005-10-21,41,3,3.0,11.0
2005-10-22,40,22,33.0,11.0
2005-10-23,48,16,13.0,9.0
2005-10-24,53,10,54.0,19.0
2005-10-25,52,11,44.0,15.0
2005-10-26,54,10,23.0,15.0
2005-10-27,62,10,21.0,20.0
2005-10-28,58,8,11.0,23.0
2005-10-29,44,13,9.0,22.0
2005-10-30,32,18,7.0,8.0
2005-10-31,51,16,20.0,9.0
2005-11-01,53,13,16.0,20.0
2005-11-02,54,8,16.0,20.0
2005-11-03,50,20,9.0,19.0
2005-11-04,48,16,14.0,11.0
2005-11-05,42,22,4.0,8.0
2005-11-06,57,13,14.0,16.0
2005-11-07,52,9,26.0,23.0
2005-11-08,48,16,13.0,24.0
2005-11-09,60,15,44.0,17.0
2005-11-10,52,13,10.0,22.0
2005-11-17,58,7,9.0,20.0
2005-11-18,40,23,41.0,11.0
2005-11-19,43,21,14.0,9.0
2005-11-20,50,15,52.0,13.0
2005-11-21,54,11,9.0,16.0
2005-11-22,53,8,26.0,15.0
2005-11-23,61,8,44.0,25.0
2005-11-24,44,18,19.0,22.0
2005-11-25,56,11,31.0,16.0
2005-11-26,54,20,14.0,17.0
2005-11-27,37,19,4.0,6.0
2005-11-28,46,17,9.0,10.0
2005-11-29,55,10,49.0,18.0
2005-11-30,45,22,14.0,17.0
2005-12-01,49,5,13.0,19.0
2005-12-02,77,15,31.0,27.0
2005-12-03,40,19,4.0,14.0
2005-12-04,34,21,4.0,6.0
2005-12-05,47,22,9.0,8.0
2005-12-06,47,4,13.0,9.0
2005-12-08,103,2,26.0,26.0
2005-12-09,54,7,23.0,24.0
2005-12-10,50,11,23.0,17.0
2005-12-11,48,5,26.0,19.0
2005-12-12,57,8,30.0,23.0
2005-12-13,45,26,13.0,22.0
2005-12-14,50,21,6.0,8.0
2005-12-15,46,14,14.0,13.0
2005-12-16,57,7,11.0,14.0
2005-12-17,27,8,3.0,9.0
2005-12-18,28,8,4.0,7.0
2005-12-19,74,1,21.0,26.0
2005-12-20,50,14,16.0,19.0
2005-12-21,64,8,17.0,24.0
2005-12-22,60,14,17.0,16.0
2005-12-23,47,22,6.0,11.0
2005-12-24,69,13,14.0,15.0
2005-12-25,40,12,39.0,15.0
2005-12-26,42,13,17.0,15.0
2005-12-27,45,19,11.0,15.0
2005-12-28,42,18,13.0,15.0
2005-12-29,43,25,10.0,14.0
2005-12-30,44,15,17.0,11.0
2005-12-31,41,6,13.0,16.0
2006-01-01,42,24,9.0,16.0
2006-01-02,55,19,13.0,15.0
2006-01-03,40,21,10.0,8.0
2006-01-04,65,19,16.0,15.0
2006-01-05,49,9,20.0,20.0
2006-01-06,54,16,20.0,18.0
2006-01-07,40,30,9.0,8.0
2006-01-08,25,30,1.0,5.0
2006-01-09,40,14,11.0,9.0
2006-01-10,49,14,9.0,14.0
2006-01-11,52,16,13.0,22.0
2006-01-12,42,19,10.0,22.0
2006-01-13,43,11,14.0,27.0
2006-01-14,31,9,16.0,27.0
2006-01-15,28,26,7.0,27.0
2006-01-16,34,20,6.0,8.0
2006-01-17,30,20,3.0,7.0
2006-01-18,37,17,7.0,8.0
2006-01-24,37,9,21.0,17.0
2006-01-25,50,10,46.0,23.0
2006-01-26,45,19,9.0,19.0
2006-01-27,53,16,13.0,11.0
2006-01-28,43,22,11.0,9.0
2006-01-29,43,30,6.0,7.0
2006-01-30,44,10,11.0,10.0
2006-01-31,39,17,14.0,9.0
2006-02-01,52,21,39.0,15.0
2006-02-02,48,25,4.0,9.0
2006-02-03,45,19,7.0,8.0
2006-02-04,54,14,13.0,20.0
2006-02-05,41,30,7.0,20.0
2006-02-06,48,18,17.0,10.0
2006-02-07,53,17,20.0,17.0
2006-02-08,43,14,14.0,10.0
2006-02-09,46,20,14.0,9.0
2006-02-10,41,19,6.0,9.0
2006-02-11,44,19,24.0,9.0
