Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2000-09-13,70,47,31.0,14.0
2000-09-14,48,48,31.0,15.0
2000-09-15,37,29,27.0,8.0
2000-09-16,42,36,20.0,13.0
2000-09-17,57,64,27.0,13.0
2000-09-18,54,87,33.0,13.0
2000-09-19,57,93,51.0,8.0
2000-09-20,60,46,11.0,8.0
2000-09-21,39,26,29.0,9.0
2000-09-22,30,41,39.0,7.0
2000-09-23,26,25,17.0,8.0
2000-09-24,17,19,21.0,8.0
2000-09-25,25,19,11.0,9.0
2000-09-26,42,34,29.0,13.0
2000-09-27,60,45,17.0,15.0
2000-09-28,42,27,31.0,15.0
2000-09-29,45,31,43.0,16.0
2000-09-30,44,50,47.0,11.0
2000-10-01,42,77,30.0,6.0
2000-10-02,45,47,10.0,10.0
2000-10-03,64,54,44.0,14.0
2000-10-04,33,25,26.0,7.0
2000-10-05,22,19,20.0,10.0
2000-10-06,17,24,4.0,7.0
2000-10-07,20,21,4.0,8.0
2000-10-08,26,19,9.0,10.0
2000-10-09,36,25,13.0,15.0
2000-10-10,43,30,20.0,19.0
2000-10-11,50,32,40.0,23.0
2000-10-12,51,41,69.0,19.0
2000-10-13,53,54,34.0,16.0
2000-10-14,50,46,9.0,17.0
2000-10-15,25,18,6.0,16.0
2000-10-16,33,14,17.0,14.0
2000-10-17,46,28,33.0,18.0
2000-10-18,47,35,20.0,20.0
2000-10-19,57,34,43.0,25.0
2000-10-20,62,45,43.0,23.0
2000-10-21,66,47,31.0,23.0
2000-10-22,54,26,24.0,23.0
2000-10-23,43,33,21.0,16.0
2000-10-24,44,28,67.0,17.0
2000-10-25,62,42,30.0,13.0
2000-10-26,54,47,13.0,18.0
2000-10-27,40,28,14.0,19.0
2000-10-28,26,10,52.0,18.0
2000-10-29,27,14,24.0,8.0
2000-10-30,42,31,30.0,10.0
2000-10-31,41,18,46.0,13.0
2001-03-31,42,21,17.0,22.0
2001-04-01,31,39,19.0,10.0
2001-04-02,40,26,29.0,7.0
2001-04-03,42,18,23.0,9.0
2001-04-04,43,25,13.0,9.0
2001-04-05,40,25,55.0,8.0
2001-04-06,23,31,26.0,7.0
2001-04-07,12,42,10.0,6.0
2001-04-08,15,40,24.0,6.0
2001-04-09,29,45,10.0,6.0
2001-04-10,33,14,24.0,9.0
2001-04-11,30,40,16.0,8.0
2001-04-12,35,38,4.0,6.0
2001-04-13,31,35,26.0,8.0
2001-04-14,27,51,17.0,8.0
2001-04-15,18,39,3.0,7.0
2001-04-16,21,34,3.0,6.0
2001-04-17,39,30,3.0,8.0
2001-04-18,44,40,6.0,11.0
2001-04-19,38,46,40.0,10.0
2001-04-20,18,42,29.0,6.0
2001-04-21,23,33,10.0,7.0
2001-04-22,19,35,49.0,7.0
2001-04-23,14,31,17.0,5.0
2001-04-24,43,35,4.0,10.0
2001-04-25,47,33,14.0,11.0
2001-04-26,42,54,19.0,11.0
2001-04-27,44,43,37.0,9.0
2001-04-28,34,43,24.0,9.0
2001-04-29,25,51,30.0,8.0
2001-04-30,42,43,13.0,8.0
2001-05-01,21,46,24.0,7.0
2001-05-02,21,49,21.0,6.0
2001-05-03,35,47,30.0,7.0
2001-05-04,43,47,27.0,7.0
2001-05-05,44,38,41.0,9.0
2001-05-06,27,36,20.0,7.0
2001-05-07,39,30,6.0,8.0
2001-05-08,45,47,7.0,9.0
2001-05-09,37,64,16.0,8.0
2001-05-10,34,51,9.0,6.0
2001-05-11,27,37,11.0,8.0
2001-05-12,34,36,17.0,8.0
2001-05-13,31,36,19.0,8.0
2001-05-14,30,51,11.0,8.0
2001-05-15,13,50,10.0,8.0
2001-05-16,18,49,11.0,8.0
2001-05-17,21,44,13.0,8.0
2001-05-18,24,29,10.0,8.0
2001-05-19,32,43,21.0,8.0
2001-05-20,32,43,54.0,9.0
2001-05-21,8,33,1.0,5.0
2001-05-22,25,33,3.0,5.0
2001-05-23,25,34,23.0,5.0
2001-05-24,13,20,1.0,3.0
2001-05-25,13,27,7.0,2.0
2001-05-26,20,39,11.0,3.0
2001-05-27,39,37,1.0,7.0
2001-05-28,34,51,36.0,10.0
2001-05-29,40,64,13.0,6.0
2001-05-30,32,36,6.0,6.0
2001-05-31,17,34,4.0,3.0
2001-06-01,13,41,6.0,2.0
2001-06-02,29,29,3.0,5.0
2001-06-03,25,17,13.0,6.0
2001-06-04,24,15,31.0,7.0
2001-06-05,26,26,11.0,5.0
2001-06-06,31,36,4.0,6.0
2001-06-07,30,36,14.0,6.0
2001-06-08,47,39,54.0,8.0
2001-06-09,53,64,16.0,11.0
2001-06-10,52,47,40.0,11.0
2001-06-11,21,61,7.0,5.0
2001-06-12,23,114,24.0,5.0
2001-06-13,32,61,26.0,5.0
2001-06-14,21,36,27.0,5.0
2001-06-15,31,41,24.0,5.0
2001-06-16,40,64,6.0,7.0
2001-06-17,40,80,33.0,9.0
2001-06-18,34,97,10.0,5.0
2001-06-19,22,74,17.0,5.0
2001-06-20,29,33,39.0,5.0
2001-06-21,22,25,23.0,7.0
2001-06-22,38,37,16.0,7.0
2001-06-23,41,44,17.0,8.0
2001-06-24,25,97,34.0,7.0
2001-06-25,39,122,13.0,5.0
2001-06-26,51,109,36.0,8.0
2001-06-27,55,101,21.0,9.0
2001-06-28,41,77,14.0,8.0
2001-06-29,28,67,20.0,6.0
2001-06-30,16,74,9.0,6.0
2001-07-01,12,49,33.0,6.0
2001-07-02,31,25,57.0,6.0
2001-07-03,23,49,21.0,5.0
2001-07-04,24,43,14.0,6.0
2001-07-05,39,38,54.0,6.0
2001-07-06,23,61,44.0,6.0
2001-07-07,8,48,19.0,5.0
2001-07-08,8,43,7.0,5.0
2001-07-09,34,44,11.0,7.0
2001-07-10,34,49,6.0,9.0
2001-07-11,21,45,17.0,6.0
2001-07-12,28,18,17.0,9.0
2001-07-13,41,42,17.0,10.0
2001-07-14,36,42,6.0,8.0
2001-07-15,39,100,17.0,7.0
2001-07-16,36,111,13.0,5.0
2001-07-17,21,67,6.0,6.0
2001-07-18,34,30,19.0,7.0
2001-07-19,31,26,36.0,8.0
2001-07-20,26,28,27.0,9.0
2001-07-21,29,80,10.0,11.0
2001-07-22,17,54,1.0,7.0
2001-07-23,28,58,9.0,7.0
2001-07-24,21,67,41.0,7.0
2001-07-25,18,58,9.0,6.0
2001-07-26,13,28,13.0,7.0
2001-07-27,22,26,16.0,8.0
2001-07-28,16,44,19.0,7.0
2001-07-29,36,74,13.0,6.0
2001-07-30,25,50,37.0,7.0
2001-07-31,20,64,24.0,6.0
2001-08-01,25,87,23.0,6.0
2001-08-02,34,97,16.0,6.0
2001-08-03,27,36,13.0,7.0
2001-08-04,25,84,40.0,7.0
2001-08-05,25,84,36.0,7.0
2001-08-06,39,106,14.0,7.0
2001-08-07,42,71,29.0,8.0
