id,Year,State_Code,NO2_AQI
6095,2015,6,42
6095,2016,6,36
6111,2000,6,72
6111,2001,6,66
6111,2002,6,45
6111,2003,6,54
6111,2004,6,61
8001,2000,8,109
8001,2001,8,102
8001,2002,8,78
8001,2003,8,108
8001,2004,8,103
8001,2005,8,96
8001,2006,8,89
8001,2007,8,103
8001,2008,8,84
8001,2009,8,83
8001,2010,8,61
8001,2011,8,77
8001,2012,8,76
8001,2013,8,87
8001,2014,8,102
8001,2015,8,70
8001,2016,8,62
8031,2005,8,103
8031,2006,8,114
8031,2007,8,101
8031,2008,8,98
8031,2012,8,84
8031,2013,8,81
8031,2014,8,108
8031,2015,8,94
8031,2016,8,85
8057,2012,8,5
8057,2013,8,8
8057,2014,8,9
9001,2007,9,63
9001,2008,9,60
9001,2009,9,49
9001,2010,9,53
9001,2011,9,50
9001,2012,9,39
9003,2007,9,62
9003,2008,9,38
9003,2009,9,34
9003,2010,9,38
9003,2011,9,33
9003,2012,9,36
9003,2013,9,37
9003,2014,9,33
9003,2015,9,54
9005,2010,9,24
9005,2011,9,37
9005,2012,9,28
9005,2013,9,37
9005,2014,9,37
9005,2015,9,106
9009,2006,9,74
9009,2007,9,77
9009,2008,9,100
9009,2009,9,74
9009,2010,9,70
9009,2011,9,69
9009,2012,9,48
9009,2013,9,74
9009,2014,9,62
9009,2015,9,79
10003,2011,10,50
10003,2012,10,53
10003,2013,10,44
10003,2014,10,52
10003,2015,10,41
10003,2016,10,58
11001,2000,11,109
11001,2001,11,88
11001,2002,11,101
11001,2003,11,101
11001,2004,11,104
11001,2005,11,104
11001,2006,11,104
11001,2007,11,81
11001,2008,11,101
11001,2009,11,82
11001,2010,11,85
11001,2011,11,61
11001,2012,11,67
11001,2013,11,63
11001,2014,11,62
11001,2015,11,60
11001,2016,11,55
12057,2007,12,40
12057,2008,12,35
12095,2000,12,71
12095,2001,12,109
12095,2002,12,60
12095,2003,12,63
12095,2004,12,53
12095,2005,12,53
12095,2006,12,50
12095,2007,12,55
12095,2008,12,42
12095,2009,12,45
12095,2010,12,48
12095,2011,12,35
12095,2012,12,42
12095,2013,12,40
12095,2014,12,40
12095,2015,12,33
12095,2016,12,38
13089,2010,13,63
13089,2011,13,66
13089,2012,13,68
13089,2013,13,52
13089,2014,13,54
13089,2015,13,57
13089,2016,13,43
15003,2011,15,24
15003,2012,15,25
15003,2013,15,29
