Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2007-05-02,20,34,1.0,6.0
2007-05-03,20,31,3.0,6.0
2007-05-04,23,31,1.0,3.0
2007-05-05,32,33,1.0,7.0
2007-05-06,28,31,3.0,8.0
2007-05-07,22,20,7.0,2.0
2007-05-08,19,25,4.0,3.0
2007-05-09,24,36,1.0,2.0
2007-05-10,21,37,3.0,2.0
2007-05-11,20,36,3.0,2.0
2007-05-12,20,31,1.0,2.0
2007-05-13,18,39,1.0,2.0
2007-05-14,25,42,7.0,3.0
2007-05-15,34,43,3.0,6.0
2007-05-16,21,33,1.0,6.0
2007-05-17,14,36,1.0,6.0
2007-05-18,24,33,4.0,3.0
2007-05-19,10,35,1.0,8.0
2007-05-20,12,27,1.0,8.0
2007-05-21,16,24,1.0,6.0
2007-05-22,29,29,3.0,5.0
2007-05-23,37,25,3.0,6.0
2007-05-24,20,40,1.0,6.0
2007-05-25,28,33,7.0,5.0
2007-05-26,12,28,1.0,5.0
2007-05-27,11,31,1.0,2.0
2007-05-28,18,31,1.0,3.0
2007-05-29,25,42,6.0,6.0
2007-05-30,33,48,3.0,11.0
2007-05-31,21,43,3.0,7.0
2007-06-01,14,42,1.0,5.0
2007-06-02,16,46,3.0,1.0
2007-06-03,19,44,1.0,2.0
2007-06-04,12,27,1.0,10.0
2007-06-05,14,20,1.0,9.0
2007-06-06,12,26,1.0,2.0
2007-06-07,18,24,1.0,1.0
2007-06-08,31,29,1.0,3.0
2007-06-09,19,19,1.0,3.0
2007-06-10,7,25,1.0,3.0
2007-06-11,16,25,1.0,5.0
2007-06-12,17,33,6.0,7.0
2007-06-13,8,26,1.0,1.0
2007-06-14,13,27,3.0,3.0
2007-06-15,20,29,3.0,6.0
2007-06-16,8,23,1.0,3.0
2007-06-17,9,17,1.0,3.0
2007-06-18,16,23,1.0,3.0
2007-06-19,25,34,3.0,2.0
2007-06-20,21,32,1.0,2.0
2007-06-21,13,26,1.0,3.0
2007-06-22,10,26,1.0,1.0
2007-06-23,17,28,1.0,3.0
2007-06-24,13,19,1.0,2.0
2007-06-25,17,25,1.0,2.0
2007-07-02,13,29,1.0,3.0
2007-07-05,8,36,1.0,2.0
2007-07-06,14,28,1.0,3.0
2007-07-07,10,29,1.0,3.0
2007-07-08,8,23,1.0,1.0
2007-07-09,9,36,1.0,5.0
2007-07-10,25,47,1.0,3.0
2007-07-11,35,51,3.0,5.0
2007-07-12,18,47,3.0,5.0
2007-07-13,14,34,1.0,5.0
2007-07-14,12,42,3.0,3.0
2007-07-15,8,14,1.0,2.0
2007-07-16,14,22,1.0,3.0
2007-07-17,20,12,1.0,7.0
2007-07-18,18,13,1.0,6.0
2007-07-19,14,19,1.0,5.0
2007-07-20,15,17,1.0,3.0
2007-07-21,11,13,1.0,3.0
2007-07-22,11,19,3.0,3.0
2007-07-23,11,15,4.0,3.0
2007-07-24,10,28,1.0,3.0
2007-07-25,12,35,1.0,3.0
2007-07-26,12,26,1.0,5.0
2007-07-27,15,34,1.0,3.0
2007-07-28,8,22,1.0,3.0
2007-07-29,8,18,1.0,1.0
2007-07-30,14,27,1.0,2.0
2007-07-31,15,30,1.0,2.0
2007-08-01,23,44,1.0,2.0
2007-08-02,15,33,1.0,2.0
2007-08-03,12,19,1.0,3.0
2007-08-04,11,25,1.0,2.0
2007-08-05,17,23,1.0,2.0
2007-08-06,19,14,3.0,2.0
2007-08-07,19,19,1.0,2.0
2007-08-08,9,22,1.0,2.0
2007-08-09,13,26,1.0,5.0
2007-08-10,23,30,1.0,5.0
2007-08-11,16,36,1.0,2.0
2007-08-12,16,19,3.0,2.0
2007-08-13,33,30,1.0,3.0
2007-08-14,27,38,1.0,3.0
2007-08-15,24,49,1.0,5.0
2007-08-16,19,21,1.0,5.0
2007-08-17,19,27,1.0,2.0
2007-08-18,13,24,1.0,3.0
2007-08-19,11,25,1.0,2.0
2007-08-20,11,11,1.0,5.0
2007-08-21,12,21,1.0,7.0
2007-08-22,15,25,1.0,5.0
2007-08-23,18,33,1.0,5.0
2007-08-24,12,27,1.0,2.0
2007-08-25,13,22,1.0,3.0
2007-08-26,11,26,1.0,2.0
2007-08-27,17,26,1.0,5.0
2007-08-28,21,31,1.0,3.0
2007-08-29,50,45,3.0,11.0
2007-08-30,40,41,1.0,15.0
2007-08-31,11,24,1.0,3.0
2007-09-01,17,31,1.0,2.0
2007-09-02,20,26,1.0,5.0
2007-09-03,15,25,1.0,3.0
2007-09-04,14,21,1.0,2.0
2007-09-05,16,19,1.0,2.0
2007-09-06,12,24,3.0,1.0
2007-09-07,22,24,1.0,5.0
2007-09-08,19,29,1.0,2.0
2007-09-09,30,29,3.0,3.0
2007-09-10,37,35,1.0,3.0
2007-09-11,32,37,3.0,6.0
2007-09-12,28,26,1.0,5.0
2007-09-13,16,12,1.0,3.0
2007-09-14,22,19,1.0,3.0
2007-09-15,24,23,1.0,6.0
2007-09-16,18,24,1.0,6.0
2007-09-17,13,20,1.0,2.0
2007-09-18,18,20,1.0,6.0
2007-09-19,19,19,1.0,5.0
2007-09-20,27,12,3.0,10.0
2007-09-21,20,20,1.0,5.0
2007-09-22,20,25,1.0,3.0
2007-09-23,12,22,1.0,2.0
2007-09-24,26,18,1.0,6.0
2007-09-25,24,17,10.0,9.0
2007-09-26,20,15,1.0,7.0
2007-09-27,22,20,3.0,9.0
2007-09-28,20,19,1.0,6.0
2007-09-29,11,19,1.0,6.0
2007-09-30,8,18,1.0,2.0
2007-10-01,19,19,1.0,3.0
2007-10-02,11,18,1.0,3.0
2007-10-03,25,17,1.0,5.0
2007-10-04,29,19,1.0,6.0
2007-10-05,25,14,1.0,11.0
2007-10-06,12,22,1.0,11.0
2007-10-07,17,14,1.0,5.0
2007-10-08,25,17,4.0,8.0
2007-10-09,19,11,1.0,14.0
