Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2000-02-29,37,36,14.0,5.0
2000-03-01,16,35,13.0,0.0
2000-03-02,34,25,13.0,1.0
2000-03-03,36,8,59.0,2.0
2000-03-04,39,30,21.0,7.0
2000-03-05,50,36,77.0,11.0
2000-03-06,51,33,57.0,11.0
2000-03-07,61,49,55.0,10.0
2000-03-08,55,42,11.0,11.0
2000-03-09,17,33,62.0,1.0
2000-03-10,27,14,11.0,2.0
2000-03-11,24,19,6.0,2.0
2000-03-12,41,31,36.0,8.0
2000-03-13,45,31,21.0,8.0
2000-03-14,48,22,41.0,6.0
2000-03-15,38,42,16.0,0.0
2000-03-16,27,20,3.0,1.0
2000-03-17,24,25,13.0,0.0
2000-03-18,27,19,57.0,3.0
2000-03-19,24,20,9.0,2.0
2000-03-20,20,8,23.0,0.0
2000-03-21,31,10,60.0,1.0
2000-03-22,44,21,70.0,2.0
2000-03-23,38,20,30.0,2.0
2000-03-24,26,58,19.0,2.0
2000-03-25,15,35,20.0,0.0
2000-03-26,36,42,7.0,3.0
2000-03-27,19,36,1.0,0.0
2000-03-28,27,28,4.0,0.0
2000-03-29,38,19,30.0,2.0
2000-03-30,34,26,17.0,1.0
2000-03-31,42,29,71.0,3.0
2000-04-01,42,38,20.0,5.0
2000-04-02,18,30,6.0,5.0
2000-04-03,37,23,4.0,0.0
2000-04-04,17,33,4.0,0.0
2000-04-05,34,45,6.0,2.0
2000-04-06,37,37,37.0,3.0
2000-04-07,32,33,17.0,3.0
2000-04-08,11,36,1.0,1.0
2000-04-09,24,42,6.0,1.0
2000-04-10,39,41,9.0,3.0
2000-04-11,17,37,10.0,2.0
2000-04-12,27,30,49.0,2.0
2000-04-13,36,25,69.0,6.0
2000-04-14,34,14,13.0,10.0
2000-04-15,30,27,6.0,9.0
2000-04-16,29,26,4.0,7.0
2000-04-17,9,14,4.0,6.0
2000-04-18,38,25,31.0,7.0
2000-04-19,43,34,26.0,6.0
2000-04-20,28,42,10.0,6.0
2000-04-21,14,25,3.0,2.0
2000-04-22,48,43,11.0,10.0
2000-04-23,40,35,19.0,10.0
2000-04-24,27,21,82.0,3.0
2000-04-25,18,43,13.0,3.0
2000-04-26,47,42,24.0,7.0
2000-04-27,39,36,9.0,10.0
2000-04-28,40,47,13.0,3.0
2000-04-29,57,50,10.0,10.0
2000-04-30,65,97,10.0,14.0
2000-05-01,49,90,6.0,9.0
2000-05-02,35,35,71.0,6.0
2000-05-03,32,20,20.0,6.0
2000-05-04,27,25,10.0,3.0
2000-05-05,33,38,13.0,8.0
2000-05-06,33,39,6.0,9.0
2000-05-07,16,31,1.0,6.0
2000-05-08,7,34,1.0,6.0
2000-05-09,11,37,19.0,6.0
2000-05-10,42,45,9.0,5.0
2000-05-11,33,38,23.0,5.0
2000-05-12,8,31,0.0,5.0
2000-05-13,11,40,3.0,5.0
2000-05-14,36,40,23.0,5.0
2000-05-15,57,49,4.0,5.0
2000-05-16,45,61,34.0,5.0
2000-05-17,49,64,6.0,5.0
2000-05-18,15,47,1.0,1.0
2000-05-19,21,27,19.0,1.0
2000-05-20,33,23,16.0,3.0
2000-05-26,43,15,10.0,7.0
2000-05-27,20,31,11.0,3.0
2000-05-28,16,31,7.0,3.0
2000-05-29,56,54,7.0,8.0
2000-05-30,43,54,14.0,9.0
2000-05-31,46,77,19.0,7.0
2000-06-01,50,97,26.0,6.0
2000-06-02,27,46,86.0,5.0
2000-06-03,34,35,7.0,3.0
2000-06-04,26,97,10.0,5.0
2000-06-05,18,37,39.0,3.0
2000-06-06,42,34,9.0,3.0
2000-06-07,46,51,14.0,6.0
2000-06-08,52,100,26.0,5.0
2000-06-09,55,100,49.0,6.0
2000-06-10,44,47,26.0,6.0
2000-06-11,35,61,47.0,5.0
2000-06-12,38,58,57.0,5.0
2000-06-13,33,67,27.0,3.0
2000-06-14,11,45,27.0,2.0
2000-06-15,12,42,16.0,3.0
2000-06-16,16,31,11.0,5.0
2000-06-17,24,14,14.0,6.0
2000-06-18,23,16,6.0,5.0
2000-06-19,36,25,33.0,5.0
2000-06-20,22,27,6.0,5.0
2000-06-21,18,32,43.0,2.0
2000-06-22,22,49,19.0,2.0
2000-06-23,28,45,39.0,2.0
2000-06-24,18,39,29.0,2.0
2000-06-25,45,36,33.0,6.0
2000-06-26,27,41,19.0,6.0
2000-06-27,40,25,29.0,1.0
2000-06-28,25,28,33.0,1.0
2000-06-29,34,35,13.0,2.0
2000-06-30,40,34,11.0,7.0
2000-07-01,40,48,13.0,7.0
2000-07-02,25,43,23.0,6.0
2000-07-03,18,44,39.0,2.0
2000-07-04,18,27,47.0,3.0
2000-07-05,27,35,50.0,3.0
2000-07-06,18,36,46.0,3.0
2000-07-07,24,47,72.0,6.0
2000-07-08,52,45,65.0,8.0
2000-07-09,34,106,96.0,9.0
2000-07-10,33,54,59.0,5.0
2000-07-11,22,41,43.0,2.0
2000-07-12,28,42,84.0,3.0
2000-07-13,32,50,34.0,3.0
2000-07-14,28,47,14.0,3.0
2000-07-15,12,36,13.0,2.0
2000-07-16,31,44,29.0,3.0
2000-07-17,30,39,26.0,3.0
2000-07-18,35,47,26.0,2.0
2000-07-19,12,27,26.0,2.0
2000-07-25,71,43,11.0,3.0
2000-07-28,35,48,7.0,2.0
2000-07-29,25,31,6.0,2.0
2000-07-30,30,26,10.0,1.0
2000-07-31,30,33,41.0,2.0
2000-08-01,32,45,47.0,3.0
2000-08-02,27,46,27.0,5.0
2000-08-03,25,37,57.0,6.0
2000-08-04,33,44,31.0,7.0
2000-08-05,30,34,26.0,7.0
2000-08-06,8,48,43.0,5.0
2000-08-07,32,25,71.0,7.0
2000-08-08,36,25,14.0,7.0
2000-08-09,24,58,92.0,6.0
2000-08-10,42,36,30.0,6.0
2000-08-11,36,28,13.0,1.0
2000-08-12,35,35,49.0,1.0
2000-08-13,49,36,81.0,3.0
2000-08-14,49,67,33.0,2.0
2000-08-15,39,109,136.0,1.0
2000-08-16,31,80,11.0,2.0
2000-08-17,27,111,108.0,1.0
2000-08-18,29,30,20.0,2.0
2000-08-19,21,34,62.0,2.0
2000-08-20,39,31,43.0,1.0
2000-08-21,44,34,33.0,1.0
2000-08-22,52,46,27.0,1.0
2000-08-23,53,42,23.0,5.0
2000-08-24,35,41,16.0,3.0
2000-08-25,45,34,97.0,5.0
2000-08-26,23,32,23.0,0.0
2000-08-27,35,45,21.0,0.0
2000-08-28,41,34,62.0,2.0
2000-08-29,52,47,33.0,5.0
2000-08-30,48,38,51.0,3.0
2000-08-31,42,26,80.0,8.0
2000-09-01,40,27,52.0,8.0
2000-09-02,25,39,20.0,7.0
2000-09-03,46,48,24.0,6.0
2000-09-04,28,28,14.0,6.0
2000-09-05,18,26,7.0,1.0
2000-09-06,45,21,66.0,3.0
2000-09-07,38,25,41.0,3.0
2000-09-08,27,11,10.0,2.0
2000-09-09,23,13,7.0,3.0
2000-09-10,15,33,10.0,2.0
2000-09-11,22,18,13.0,2.0
2000-09-12,25,35,23.0,2.0
2000-09-13,48,33,106.0,3.0
2000-09-14,37,49,50.0,3.0
2000-09-15,32,19,26.0,0.0
2000-09-16,33,22,9.0,5.0
2000-09-17,42,34,33.0,6.0
2000-09-18,64,43,21.0,6.0
2000-09-19,42,122,39.0,6.0
2000-09-20,13,45,26.0,3.0
2000-09-21,42,15,26.0,5.0
2000-09-22,27,31,29.0,6.0
2000-09-23,10,28,31.0,5.0
2000-09-24,10,6,6.0,3.0
2000-09-25,31,13,6.0,6.0
2000-09-26,38,15,41.0,6.0
2000-09-27,49,36,52.0,9.0
