id,Year,State_Code,SO2_AQI
6083,2003,6,108.0
6083,2004,6,21.0
6083,2005,6,44.0
6083,2006,6,34.0
6083,2007,6,39.0
6083,2008,6,17.0
6083,2009,6,13.0
6083,2010,6,9.0
6083,2011,6,20.0
6083,2012,6,97.0
6083,2013,6,104.0
6083,2014,6,117.0
6083,2015,6,36.0
6083,2016,6,4.0
6085,2009,6,9.0
6085,2010,6,11.0
6085,2011,6,50.0
6085,2012,6,40.0
6085,2013,6,19.0
6085,2014,6,4.0
6085,2015,6,4.0
6085,2016,6,1.0
6087,2000,6,33.0
6087,2001,6,40.0
6087,2002,6,51.0
6087,2003,6,51.0
6087,2004,6,39.0
6087,2005,6,31.0
6087,2006,6,26.0
6087,2007,6,19.0
6087,2008,6,40.0
6087,2009,6,7.0
6095,2000,6,24.0
6095,2001,6,23.0
6095,2002,6,24.0
6095,2003,6,17.0
6095,2004,6,23.0
6095,2005,6,16.0
6095,2006,6,23.0
6095,2007,6,96.0
6095,2008,6,46.0
6095,2009,6,14.0
6095,2010,6,16.0
6095,2011,6,10.0
6095,2012,6,20.0
6095,2013,6,11.0
6095,2014,6,33.0
6095,2015,6,7.0
6095,2016,6,9.0
6111,2000,6,21.0
6111,2001,6,21.0
6111,2002,6,10.0
6111,2003,6,10.0
6111,2004,6,4.0
8001,2000,8,100.0
8001,2001,8,108.0
8001,2002,8,107.0
8001,2003,8,101.0
8001,2004,8,79.0
8001,2005,8,75.0
8001,2006,8,71.0
8001,2007,8,176.0
8001,2008,8,59.0
8001,2009,8,64.0
8001,2010,8,67.0
8001,2011,8,57.0
8001,2012,8,64.0
8001,2013,8,76.0
8001,2014,8,64.0
8001,2015,8,27.0
8001,2016,8,14.0
8031,2005,8,54.0
8031,2006,8,72.0
8031,2007,8,59.0
8031,2008,8,72.0
8031,2012,8,61.0
8031,2013,8,66.0
8031,2014,8,29.0
8031,2015,8,39.0
8031,2016,8,19.0
8057,2012,8,1.0
8057,2013,8,0.0
8057,2014,8,1.0
9001,2007,9,21.0
9001,2008,9,27.0
9001,2009,9,11.0
9001,2010,9,7.0
9001,2011,9,10.0
9001,2012,9,10.0
9003,2007,9,17.0
9003,2008,9,14.0
9003,2009,9,11.0
9003,2010,9,14.0
9003,2011,9,6.0
9003,2012,9,7.0
9003,2013,9,7.0
9003,2014,9,6.0
9003,2015,9,1.0
9005,2010,9,23.0
9005,2011,9,20.0
9005,2012,9,10.0
9005,2013,9,9.0
9005,2014,9,13.0
9005,2015,9,49.0
9009,2006,9,89.0
9009,2007,9,109.0
9009,2008,9,81.0
9009,2009,9,62.0
9009,2010,9,101.0
9009,2011,9,114.0
9009,2012,9,65.0
9009,2013,9,37.0
9009,2014,9,27.0
9009,2015,9,10.0
10003,2011,10,26.0
