Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2006-12-15,22,29,0.0,6.0
2006-12-16,20,18,0.0,6.0
2006-12-17,13,22,0.0,7.0
2006-12-18,21,12,0.0,10.0
2006-12-19,20,17,36.0,10.0
2006-12-20,8,30,0.0,8.0
2006-12-21,17,25,0.0,6.0
2006-12-22,17,25,0.0,9.0
2006-12-23,20,28,0.0,9.0
2006-12-24,0,25,0.0,9.0
2006-12-25,1,31,0.0,5.0
2006-12-26,1,31,0.0,5.0
2006-12-27,6,31,0.0,5.0
2006-12-28,14,19,0.0,5.0
2006-12-29,23,15,0.0,10.0
2006-12-30,14,14,0.0,10.0
2006-12-31,14,18,0.0,13.0
2007-03-25,6,39,1.0,2.0
2007-03-26,9,36,1.0,2.0
2007-03-27,6,37,1.0,2.0
2007-03-28,19,28,1.0,5.0
2007-03-29,10,27,1.0,6.0
2007-03-30,11,33,1.0,3.0
2007-03-31,10,33,1.0,3.0
2007-04-01,2,35,1.0,2.0
2007-04-02,11,33,1.0,5.0
2007-04-03,10,31,3.0,3.0
2007-04-04,12,36,1.0,3.0
2007-04-05,13,25,1.0,3.0
2007-04-06,12,22,1.0,3.0
2007-04-07,5,42,1.0,3.0
2007-04-08,10,33,1.0,3.0
2007-04-09,8,38,1.0,3.0
2007-04-10,11,31,1.0,3.0
2007-04-11,7,36,3.0,3.0
2007-04-12,7,36,3.0,3.0
2007-04-13,11,30,1.0,3.0
2007-04-14,4,44,1.0,2.0
2007-04-15,3,33,1.0,2.0
2007-04-16,8,32,3.0,3.0
2007-04-17,7,39,1.0,2.0
2007-04-18,8,39,1.0,2.0
2007-04-19,4,33,1.0,2.0
2007-04-20,8,31,1.0,3.0
2007-04-21,10,34,1.0,2.0
2007-04-22,3,34,1.0,3.0
2007-04-23,6,24,1.0,3.0
2007-04-24,8,33,3.0,2.0
2007-04-25,6,33,1.0,2.0
2007-04-26,11,35,3.0,3.0
2007-04-27,5,31,3.0,2.0
2007-04-28,3,34,1.0,2.0
2007-04-29,3,32,1.0,2.0
2007-04-30,6,34,3.0,3.0
2007-05-01,8,33,3.0,2.0
2007-05-02,5,37,1.0,2.0
2007-05-03,10,32,3.0,2.0
2007-05-04,8,37,1.0,2.0
2007-05-05,4,35,0.0,2.0
2007-05-06,5,28,0.0,2.0
2007-05-07,12,19,0.0,5.0
2007-05-08,5,21,0.0,2.0
2007-05-09,8,34,0.0,2.0
2007-05-10,5,38,0.0,2.0
2007-05-11,5,36,0.0,2.0
2007-05-12,5,41,0.0,2.0
2007-05-13,5,38,0.0,2.0
2007-05-14,8,36,0.0,2.0
2007-05-15,8,36,0.0,2.0
2007-05-16,5,36,0.0,2.0
2007-05-17,8,38,0.0,2.0
2007-05-18,10,31,0.0,3.0
2007-05-19,3,36,0.0,2.0
2007-05-20,7,31,0.0,3.0
2007-05-21,6,33,0.0,3.0
2007-05-22,5,31,0.0,2.0
2007-05-23,8,33,0.0,2.0
2007-05-24,5,35,0.0,2.0
2007-05-25,4,34,0.0,2.0
2007-05-26,2,28,0.0,2.0
2007-05-27,1,32,0.0,2.0
2007-05-28,4,26,0.0,2.0
2007-05-29,3,30,0.0,2.0
2007-05-30,6,32,0.0,2.0
2007-05-31,12,28,0.0,2.0
2007-06-01,3,25,0.0,2.0
2007-06-02,3,25,0.0,2.0
2007-06-03,6,19,0.0,3.0
2007-06-04,7,20,0.0,2.0
2007-06-05,8,27,0.0,2.0
2007-06-06,4,29,0.0,2.0
2007-06-07,6,25,0.0,2.0
2007-06-08,5,29,0.0,1.0
2007-06-09,9,24,0.0,2.0
2007-06-10,2,29,0.0,1.0
2007-06-11,3,23,0.0,1.0
2007-06-12,4,25,0.0,2.0
2007-06-13,3,28,0.0,2.0
2007-06-14,3,24,0.0,2.0
2007-06-15,4,28,0.0,2.0
2007-06-16,3,30,0.0,1.0
2007-06-17,2,25,0.0,2.0
2007-06-18,4,22,0.0,3.0
2007-06-19,6,24,0.0,6.0
2007-06-20,4,19,0.0,2.0
2007-06-21,6,18,0.0,2.0
2007-06-22,5,21,3.0,2.0
2007-06-23,3,23,0.0,2.0
2007-06-24,3,22,0.0,2.0
2007-06-25,4,19,0.0,2.0
2007-06-26,7,24,0.0,2.0
2007-06-27,7,19,0.0,3.0
2007-06-28,14,14,0.0,3.0
2007-06-29,8,21,0.0,3.0
2007-06-30,4,21,0.0,3.0
2007-07-01,5,19,0.0,3.0
2007-07-02,7,21,0.0,3.0
2007-07-03,3,19,0.0,1.0
2007-07-04,2,18,0.0,1.0
2007-07-05,5,16,0.0,1.0
2007-07-06,4,17,0.0,2.0
2007-07-07,5,19,0.0,1.0
2007-07-08,4,20,0.0,2.0
2007-07-09,8,15,0.0,2.0
2007-07-10,4,22,0.0,2.0
2007-07-11,6,16,0.0,2.0
2007-07-12,5,22,0.0,1.0
2007-07-13,9,19,0.0,2.0
2007-07-14,9,13,0.0,1.0
2007-07-15,3,16,0.0,1.0
2007-07-16,6,15,0.0,2.0
2007-07-17,5,14,0.0,2.0
2007-07-18,9,16,0.0,2.0
2007-07-19,5,15,0.0,2.0
2007-07-20,7,14,0.0,2.0
2007-07-21,3,2,0.0,2.0
2007-07-22,5,5,0.0,2.0
2007-07-23,6,17,1.0,2.0
2007-07-24,8,19,1.0,2.0
2007-07-25,4,20,0.0,1.0
2007-07-26,4,21,0.0,1.0
2007-07-27,5,18,0.0,2.0
2007-07-28,1,13,0.0,2.0
2007-07-29,2,17,0.0,2.0
2007-07-30,4,17,0.0,2.0
2007-07-31,6,19,0.0,2.0
2007-09-02,6,20,4.0,5.0
2007-09-03,8,12,0.0,5.0
2007-09-04,8,24,0.0,5.0
2007-09-05,5,19,0.0,5.0
2007-09-06,7,19,0.0,5.0
2007-09-07,7,23,0.0,5.0
2007-09-08,5,25,0.0,5.0
2007-09-09,6,25,0.0,5.0
2007-09-10,12,26,0.0,6.0
2007-09-11,11,26,0.0,6.0
2007-09-12,8,31,0.0,6.0
2007-09-13,16,22,0.0,6.0
2007-09-14,9,19,0.0,7.0
2007-09-15,4,24,0.0,6.0
2007-09-16,5,26,0.0,6.0
2007-09-17,9,27,0.0,6.0
2007-09-18,9,25,0.0,6.0
2007-09-19,10,26,0.0,6.0
2007-09-20,7,25,0.0,1.0
2007-09-21,8,25,0.0,2.0
2007-09-22,8,26,1.0,2.0
2007-09-23,4,22,0.0,2.0
2007-09-24,12,19,0.0,2.0
2007-09-25,8,22,0.0,3.0
2007-09-26,10,20,0.0,3.0
2007-09-27,9,25,0.0,3.0
2007-09-28,7,26,0.0,3.0
2007-09-29,8,19,0.0,3.0
2007-09-30,8,19,0.0,3.0
2007-10-01,13,21,0.0,7.0
2007-10-02,8,17,0.0,5.0
2007-10-03,13,25,0.0,5.0
2007-10-04,7,29,0.0,5.0
2007-10-05,10,25,0.0,5.0
2007-10-06,8,21,0.0,5.0
2007-10-07,13,18,1.0,6.0
2007-10-08,6,15,0.0,6.0
2007-10-09,9,21,0.0,5.0
2007-10-10,7,31,0.0,6.0
2007-10-11,14,16,0.0,7.0
2007-10-12,11,25,1.0,7.0
2007-10-13,8,14,1.0,6.0
2007-10-14,15,21,0.0,6.0
2007-10-15,8,24,0.0,6.0
2007-10-16,6,27,0.0,6.0
2007-10-17,4,30,0.0,6.0
2007-10-18,0,28,0.0,6.0
2007-10-19,9,25,0.0,6.0
2007-10-20,8,27,0.0,6.0
2007-10-21,5,17,0.0,7.0
2007-10-22,14,15,1.0,9.0
2007-10-23,17,19,0.0,8.0
2007-10-24,8,26,0.0,7.0
2007-10-25,7,26,0.0,7.0
2007-10-26,12,18,1.0,9.0
2007-10-27,10,20,1.0,9.0
2007-10-28,5,21,0.0,7.0
2007-10-29,7,15,0.0,7.0
2007-10-30,14,18,0.0,9.0
2007-10-31,8,13,0.0,8.0
2007-11-01,14,14,0.0,9.0
2007-11-02,12,15,1.0,9.0
2007-11-03,15,14,1.0,9.0
2007-11-04,19,14,1.0,14.0
2007-11-05,28,19,1.0,14.0
2007-11-06,13,16,1.0,13.0
2007-11-07,9,11,1.0,10.0
2007-11-08,8,17,0.0,10.0
2007-11-09,19,30,0.0,11.0
2007-11-10,3,26,0.0,9.0
2007-11-11,9,22,1.0,11.0
2007-11-12,8,29,1.0,13.0
2007-11-13,19,25,1.0,9.0
2007-11-14,14,12,1.0,8.0
2007-11-15,12,15,0.0,6.0
