Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2011-01-01,45,24,1.0,10.0
2011-01-02,46,24,3.0,13.0
2011-01-03,50,21,3.0,8.0
2011-01-04,55,9,3.0,9.0
2011-01-05,58,9,3.0,16.0
2011-01-06,66,8,3.0,18.0
2011-01-07,58,10,3.0,9.0
2011-01-08,58,7,3.0,9.0
2011-01-09,46,18,1.0,6.0
2011-01-10,47,20,1.0,7.0
2011-01-11,53,12,3.0,13.0
2011-01-12,60,6,6.0,14.0
2011-01-13,54,8,6.0,13.0
2011-01-14,50,9,3.0,10.0
2011-01-15,44,8,3.0,11.0
2011-01-16,44,3,1.0,11.0
2011-01-17,37,17,1.0,11.0
2011-01-18,39,18,3.0,14.0
2011-01-19,30,26,1.0,6.0
2011-01-20,38,25,1.0,7.0
2011-01-21,42,12,3.0,14.0
2011-01-22,36,30,1.0,8.0
2011-01-23,37,28,1.0,8.0
2011-01-24,42,16,3.0,15.0
2011-01-25,45,4,1.0,11.0
2011-01-26,42,9,1.0,11.0
2011-01-27,36,13,3.0,10.0
2011-01-28,38,11,3.0,6.0
2011-01-29,37,10,4.0,5.0
2011-01-30,37,8,3.0,5.0
2011-01-31,26,32,1.0,3.0
2011-02-01,8,34,1.0,2.0
2011-02-02,39,31,1.0,5.0
2011-02-03,41,22,3.0,7.0
2011-02-04,48,10,4.0,7.0
2011-02-05,40,25,1.0,9.0
2011-02-06,36,33,1.0,13.0
2011-02-07,32,27,1.0,6.0
2011-02-08,9,33,1.0,3.0
2011-02-09,34,27,1.0,3.0
2011-02-10,36,25,1.0,9.0
2011-02-11,42,25,3.0,9.0
2011-02-12,42,25,1.0,10.0
2011-02-13,39,31,1.0,11.0
2011-02-14,41,33,1.0,8.0
2011-02-15,45,41,3.0,9.0
2011-02-16,12,42,50.0,2.0
2011-02-17,37,33,3.0,7.0
2011-02-18,35,38,1.0,5.0
2011-02-19,32,36,1.0,5.0
2011-02-20,37,34,3.0,5.0
2011-02-21,34,33,1.0,6.0
2011-02-22,38,36,1.0,5.0
2011-02-23,42,33,1.0,5.0
2011-02-24,39,24,1.0,7.0
2011-02-25,25,39,3.0,3.0
2011-02-26,16,37,1.0,3.0
2011-02-27,27,41,1.0,3.0
2011-02-28,45,34,1.0,9.0
2011-03-01,48,26,3.0,11.0
2011-03-02,41,33,1.0,9.0
2011-03-03,39,33,1.0,5.0
2011-03-04,35,37,1.0,7.0
2011-03-05,37,38,1.0,6.0
2011-03-06,34,34,1.0,5.0
2011-03-07,32,30,1.0,5.0
2011-03-08,41,36,4.0,7.0
2011-03-09,42,26,1.0,7.0
2011-03-10,41,38,1.0,8.0
2011-03-11,36,36,4.0,3.0
2011-03-12,32,35,3.0,5.0
2011-03-13,29,43,0.0,5.0
2011-03-14,39,33,1.0,7.0
2011-03-15,38,31,1.0,8.0
2011-03-16,10,36,4.0,5.0
2011-03-17,24,38,3.0,3.0
2011-03-18,33,43,1.0,3.0
2011-03-19,19,43,1.0,3.0
2011-03-20,20,41,1.0,2.0
2011-03-21,45,44,1.0,8.0
2011-03-22,27,35,1.0,3.0
2011-03-23,37,43,1.0,5.0
2011-03-24,20,43,4.0,2.0
2011-03-25,28,42,1.0,3.0
2011-03-26,35,42,1.0,5.0
2011-03-27,25,45,1.0,3.0
