id,Year,State_Code,O3_AQI
6095,2015,6,100
6095,2016,6,84
6111,2000,6,90
6111,2001,6,90
6111,2002,6,74
6111,2003,6,87
6111,2004,6,58
8001,2000,8,71
8001,2001,8,71
8001,2002,8,97
8001,2003,8,84
8001,2004,8,84
8001,2005,8,101
8001,2006,8,114
8001,2007,8,127
8001,2008,8,124
8001,2009,8,106
8001,2010,8,77
8001,2011,8,135
8001,2012,8,114
8001,2013,8,140
8001,2014,8,108
8001,2015,8,115
8001,2016,8,49
8031,2005,8,51
8031,2006,8,87
8031,2007,8,64
8031,2008,8,25
8031,2012,8,127
8031,2013,8,97
8031,2014,8,97
8031,2015,8,122
8031,2016,8,47
8057,2012,8,39
8057,2013,8,97
8057,2014,8,77
9001,2007,9,151
9001,2008,9,169
9001,2009,9,124
9001,2010,9,119
9001,2011,9,164
9001,2012,9,145
9003,2007,9,179
9003,2008,9,135
9003,2009,9,101
9003,2010,9,135
9003,2011,9,142
9003,2012,9,140
9003,2013,9,151
9003,2014,9,143
9003,2015,9,147
9005,2010,9,119
9005,2011,9,124
9005,2012,9,109
9005,2013,9,124
9005,2014,9,129
9005,2015,9,147
9009,2006,9,119
9009,2007,9,129
9009,2008,9,84
9009,2009,9,54
9009,2010,9,101
9009,2011,9,156
9009,2012,9,151
9009,2013,9,122
9009,2014,9,126
9009,2015,9,169
10003,2011,10,116
10003,2012,10,127
10003,2013,10,93
10003,2014,10,143
10003,2015,10,105
10003,2016,10,61
11001,2000,11,164
11001,2001,11,164
11001,2002,11,206
11001,2003,11,179
11001,2004,11,119
11001,2005,11,135
11001,2006,11,145
11001,2007,11,140
11001,2008,11,142
11001,2009,11,111
11001,2010,11,151
11001,2011,11,124
11001,2012,11,132
11001,2013,11,93
11001,2014,11,133
11001,2015,11,126
11001,2016,11,93
12057,2007,12,122
12057,2008,12,111
12095,2000,12,150
12095,2001,12,122
12095,2002,12,135
12095,2003,12,114
12095,2004,12,106
12095,2005,12,140
12095,2006,12,132
12095,2007,12,129
12095,2008,12,114
12095,2009,12,90
12095,2010,12,109
12095,2011,12,111
12095,2012,12,106
12095,2013,12,93
12095,2014,12,126
12095,2015,12,84
12095,2016,12,67
13089,2010,13,71
13089,2011,13,147
13089,2012,13,159
13089,2013,13,140
13089,2014,13,122
13089,2015,13,150
13089,2016,13,54
15003,2011,15,47
15003,2012,15,42
15003,2013,15,48
15003,2014,15,46
15003,2015,15,48
16001,2009,16,80
16001,2010,16,80
16001,2011,16,31
17031,2000,17,101
17031,2001,17,104
17031,2002,17,129
17031,2003,17,100
17031,2004,17,64
17031,2005,17,111
17031,2006,17,67
17031,2007,17,109
17031,2008,17,84
17031,2009,17,87
17031,2010,17,116
17031,2011,17,135
17031,2012,17,161
17031,2013,17,126
17031,2014,17,97
17031,2015,17,101
17031,2016,17,44
17163,2001,17,116
17163,2002,17,169
17163,2003,17,190
17163,2004,17,106
17163,2005,17,187
17163,2006,17,156
17163,2007,17,145
17163,2008,17,87
17163,2009,17,151
17163,2010,17,124
17163,2011,17,127
17163,2012,17,142
17163,2013,17,101
17163,2014,17,112
17163,2015,17,115
17163,2016,17,67
18097,2000,18,142
18097,2001,18,147
18097,2002,18,190
18097,2003,18,164
18097,2004,18,100
18097,2005,18,116
18097,2006,18,106
18097,2007,18,119
18097,2008,18,90
18097,2009,18,93
18097,2010,18,100
18097,2011,18,111
18097,2012,18,145
18097,2013,18,105
18097,2014,18,105
18097,2015,18,101
18097,2016,18,105
19153,2007,19,97
19153,2008,19,51
19153,2009,19,50
19153,2010,19,61
19153,2011,19,77
19153,2012,19,84
19153,2013,19,61
19153,2014,19,93
19153,2015,19,84
19153,2016,19,80
19163,2006,19,33
19163,2007,19,77
19163,2008,19,74
19163,2009,19,93
19163,2010,19,80
19163,2011,19,90
19163,2012,19,101
19163,2013,19,61
19163,2014,19,71
19163,2015,19,90
19163,2016,19,84
20107,2000,20,151
