O3_AQI,id,State_Code
147.0,1000,1
147.0,1001,1
147.0,1003,1
147.0,1005,1
147.0,1007,1
147.0,1009,1
147.0,1011,1
147.0,1013,1
147.0,1015,1
147.0,1017,1
147.0,1019,1
147.0,1021,1
147.0,1023,1
147.0,1025,1
147.0,1027,1
147.0,1029,1
147.0,1031,1
147.0,1033,1
147.0,1035,1
147.0,1037,1
147.0,1039,1
147.0,1041,1
147.0,1043,1
147.0,1045,1
147.0,1047,1
147.0,1049,1
147.0,1051,1
147.0,1053,1
147.0,1055,1
147.0,1057,1
147.0,1059,1
147.0,1061,1
147.0,1063,1
147.0,1065,1
147.0,1067,1
147.0,1069,1
147.0,1071,1
147.0,1073,1
147.0,1075,1
147.0,1077,1
147.0,1079,1
147.0,1081,1
147.0,1083,1
147.0,1085,1
147.0,1087,1
147.0,1089,1
147.0,1091,1
147.0,1093,1
147.0,1095,1
147.0,1097,1
147.0,1099,1
147.0,1101,1
147.0,1103,1
147.0,1105,1
147.0,1107,1
147.0,1109,1
147.0,1111,1
147.0,1113,1
147.0,1115,1
147.0,1117,1
147.0,1119,1
147.0,1121,1
147.0,1123,1
147.0,1125,1
147.0,1127,1
147.0,1129,1
147.0,1131,1
147.0,1133,1
147.0,2000,2
147.0,2013,2
147.0,2016,2
147.0,2020,2
147.0,2050,2
147.0,2060,2
147.0,2068,2
147.0,2070,2
47.0,2090,2
47.0,2100,2
47.0,2110,2
47.0,2122,2
47.0,2130,2
47.0,2150,2
47.0,2164,2
47.0,2170,2
47.0,2180,2
47.0,2185,2
47.0,2188,2
47.0,2195,2
47.0,2201,2
47.0,2220,2
47.0,2230,2
47.0,2232,2
47.0,2240,2
47.0,2261,2
47.0,2270,2
47.0,2280,2
47.0,2282,2
47.0,2290,2
47.0,4000,4
47.0,4001,4
47.0,4003,4
47.0,4005,4
47.0,4007,4
47.0,4009,4
47.0,4011,4
47.0,4012,4
147.0,4013,4
147.0,4015,4
147.0,4017,4
124.0,4019,4
124.0,4021,4
124.0,4023,4
124.0,4025,4
124.0,4027,4
124.0,5000,5
124.0,5001,5
124.0,5003,5
124.0,5005,5
124.0,5007,5
124.0,5009,5
124.0,5011,5
124.0,5013,5
124.0,5015,5
124.0,5017,5
124.0,5019,5
124.0,5021,5
124.0,5023,5
124.0,5025,5
124.0,5027,5
124.0,5029,5
124.0,5031,5
124.0,5033,5
124.0,5035,5
124.0,5037,5
124.0,5039,5
124.0,5041,5
124.0,5043,5
124.0,5045,5
124.0,5047,5
124.0,5049,5
124.0,5051,5
124.0,5053,5
124.0,5055,5
124.0,5057,5
124.0,5059,5
124.0,5061,5
124.0,5063,5
124.0,5065,5
124.0,5067,5
124.0,5069,5
124.0,5071,5
124.0,5073,5
124.0,5075,5
124.0,5077,5
124.0,5079,5
124.0,5081,5
124.0,5083,5
124.0,5085,5
124.0,5087,5
124.0,5089,5
124.0,5091,5
124.0,5093,5
124.0,5095,5
124.0,5097,5
124.0,5099,5
124.0,5101,5
124.0,5103,5
124.0,5105,5
124.0,5107,5
124.0,5109,5
124.0,5111,5
124.0,5113,5
124.0,5115,5
124.0,5117,5
124.0,5119,5
124.0,5121,5
124.0,5123,5
124.0,5125,5
124.0,5127,5
124.0,5129,5
124.0,5131,5
124.0,5133,5
124.0,5135,5
124.0,5137,5
124.0,5139,5
124.0,5141,5
124.0,5143,5
124.0,5145,5
124.0,5147,5
124.0,5149,5
124.0,6000,6
80.0,6001,6
80.0,6003,6
80.0,6005,6
80.0,6007,6
80.0,6009,6
80.0,6011,6
166.0,6013,6
166.0,6015,6
166.0,6017,6
207.0,6019,6
207.0,6021,6
48.0,6023,6
195.0,6025,6
195.0,6027,6
80.0,6029,6
80.0,6031,6
80.0,6033,6
80.0,6035,6
206.0,6037,6
206.0,6039,6
206.0,6041,6
206.0,6043,6
206.0,6045,6
206.0,6047,6
206.0,6049,6
206.0,6051,6
206.0,6053,6
206.0,6055,6
206.0,6057,6
143.0,6059,6
143.0,6061,6
143.0,6063,6
210.0,6065,6
201.0,6067,6
201.0,6069,6
218.0,6071,6
132.0,6073,6
71.0,6075,6
71.0,6075,6
71.0,6077,6
71.0,6079,6
71.0,6081,6
166.0,6083,6
140.0,6085,6
71.0,6087,6
71.0,6089,6
71.0,6091,6
